market,strategy,regime,sizing,sl,tp,trail,cagr,sharpe,sortino,calmar,max_drawdown,total_return,trades,exposure,benchmark_return
india,golden_cross_50_200,none,equal_slot,none,none,none,15.531361971634139,0.8317166232010057,1.1780587814028407,0.6308889168538503,-24.61821971621683,53.324511084916004,48.0,98.47389558232932,25.83157315193818
india,golden_cross_50_200,none,equal_slot,none,none,0.15,9.293918335653606,0.6882118130416032,0.9381767145518527,0.6455874709363567,-14.396063669224798,30.093740757274002,127.0,93.15930388219546,25.83157315193818
india,golden_cross_50_200,none,equal_slot,none,none,0.25,18.139934065748275,1.0905918211839543,1.5596025320597413,0.9976122975969214,-18.183350495422214,63.80127825688502,58.0,97.85809906291834,25.83157315193818
india,golden_cross_50_200,none,equal_slot,none,0.25,none,11.892073078826492,0.940144837582192,1.31656377900774,0.9401419932551546,-12.649230822730608,39.46379538038065,93.0,96.57295850066933,25.83157315193818
india,golden_cross_50_200,none,equal_slot,none,0.25,0.15,19.425267285470294,1.563801797257954,2.2318388699281186,2.6141863922097266,-7.430712417200845,69.13336596776578,161.0,92.3962516733601,25.83157315193818
india,golden_cross_50_200,none,equal_slot,none,0.25,0.25,14.339564836487394,1.1129298523970443,1.5794949010325907,1.2931832208149239,-11.088579410619824,48.6894718080864,101.0,97.13520749665328,25.83157315193818
india,golden_cross_50_200,none,equal_slot,0.08,none,none,17.353003935239,0.9032473847060463,1.2464621534494655,0.8735120458617222,-19.86578664535783,60.59237684374259,78.0,96.9611780455154,25.83157315193818
india,golden_cross_50_200,none,equal_slot,0.08,none,0.15,18.334112573705454,1.2668371560380955,1.8561445833510535,1.4801604270066846,-12.386571238620645,64.59956601676049,142.0,91.01740294511377,25.83157315193818
india,golden_cross_50_200,none,equal_slot,0.08,none,0.25,13.757206037288206,0.8206449310897318,1.1142394728293659,0.7216692897869453,-19.063033763498062,46.458764153738066,89.0,95.86345381526104,25.83157315193818
india,golden_cross_50_200,none,equal_slot,0.08,0.25,none,18.874915837055983,1.4575235454939852,2.194992217663248,1.7674305482359902,-10.67929704841549,66.83643327172545,165.0,91.74029451137885,25.83157315193818
india,golden_cross_50_200,none,equal_slot,0.08,0.25,0.15,20.77335327153431,1.5998911876886404,2.4474565630456477,2.4385199543166056,-8.51883669631731,74.84795271661827,191.0,90.0,25.83157315193818
india,golden_cross_50_200,none,equal_slot,0.08,0.25,0.25,18.874915837055983,1.4575235454939852,2.194992217663248,1.7674305482359902,-10.67929704841549,66.83643327172545,165.0,91.74029451137885,25.83157315193818
