market,strategy,regime,sizing,sl,tp,trail,cagr,sharpe,sortino,calmar,max_drawdown,total_return,trades,exposure,benchmark_return
india,golden_cross_50_200,none,equal_slot,none,none,none,12.157793988716525,0.6718843546570783,0.9487674525120562,0.4072098724033526,-29.856334074027302,40.063379447285016,49.0,97.85425101214574,25.79863906199593
india,golden_cross_50_200,none,equal_slot,none,none,0.15,11.713069782560614,0.8704895939729743,1.2168712486592388,0.8388654675544605,-13.962989580090426,38.43877150743309,123.0,92.90148448043185,25.79863906199593
india,golden_cross_50_200,none,equal_slot,none,none,0.25,18.977934278830723,1.10362530185067,1.5781050495267674,0.9291445629935694,-20.425168520264016,66.57420683989076,59.0,97.13900134952766,25.79863906199593
india,golden_cross_50_200,none,equal_slot,none,0.25,none,18.479193540714057,1.313829479889207,1.8422688862307393,1.4348974685095417,-12.87840695677635,64.53207692695146,96.0,96.43724696356276,25.79863906199593
india,golden_cross_50_200,none,equal_slot,none,0.25,0.15,11.110231764759781,0.8782348770517646,1.2099380380409124,0.7533456640330334,-14.747853867348482,36.256472425038,153.0,92.83400809716599,25.79863906199593
india,golden_cross_50_200,none,equal_slot,none,0.25,0.25,14.736458817697361,1.0557477740489047,1.461687653771599,0.8497512198963346,-17.34208609844083,49.731700823240764,112.0,95.53306342780029,25.79863906199593
india,golden_cross_50_200,none,equal_slot,0.08,none,none,10.230735824854097,0.5767987800383346,0.7823106370705741,0.4209485601361283,-24.304004797036566,33.1135400473126,94.0,95.81646423751687,25.79863906199593
india,golden_cross_50_200,none,equal_slot,0.08,none,0.15,12.899068125092006,0.8864161478531917,1.277487634942317,0.7894253291234102,-16.339820435474657,42.799159829983545,153.0,90.08097165991902,25.79863906199593
india,golden_cross_50_200,none,equal_slot,0.08,none,0.25,12.832254081238737,0.7389166364642707,0.990959282874962,0.586665032633397,-21.87322128888075,42.55114060346765,99.0,96.0458839406208,25.79863906199593
india,golden_cross_50_200,none,equal_slot,0.08,0.25,none,22.663499911254604,1.6597849146971015,2.468239803876838,1.969770461402791,-11.50565528082626,82.18530142678296,178.0,92.13225371120109,25.79863906199593
india,golden_cross_50_200,none,equal_slot,0.08,0.25,0.15,18.458228206407725,1.4031888675284239,2.0420909203209923,1.3350539197123157,-13.825829754041093,64.44659642793586,198.0,88.47503373819163,25.79863906199593
india,golden_cross_50_200,none,equal_slot,0.08,0.25,0.25,21.77887827730722,1.585669124180911,2.3506182419145443,1.8514504158446639,-11.763144230557922,78.35396444033194,178.0,91.72739541160594,25.79863906199593
india,golden_cross_50_200,none,equal_slot,0.15,none,none,14.025261995162852,0.7820612353241585,1.1204393115554243,0.5610476887587139,-24.998341987992045,47.022607297565756,58.0,97.69230769230771,25.79863906199593
india,golden_cross_50_200,none,equal_slot,0.15,none,0.15,11.525704960124482,0.8546514008156489,1.1917818485914369,0.8081862485499283,-14.261199050100451,37.75805307832627,123.0,92.90148448043185,25.79863906199593
india,golden_cross_50_200,none,equal_slot,0.15,none,0.25,15.015029619777742,0.9190632148238597,1.3024401462152182,0.6139854491065131,-24.455025182808463,50.801739858295925,71.0,96.95006747638327,25.79863906199593
india,golden_cross_50_200,none,equal_slot,0.15,0.25,none,10.557881225857834,0.784259984406426,1.0659556529410352,0.5972674822387665,-17.67697311476463,34.27696635528235,112.0,94.97975708502024,25.79863906199593
india,golden_cross_50_200,none,equal_slot,0.15,0.25,0.15,10.683478533162916,0.8409606759709533,1.153599269695479,0.6969469912414076,-15.328968583583979,34.72540283837225,153.0,92.83400809716599,25.79863906199593
india,golden_cross_50_200,none,equal_slot,0.15,0.25,0.25,14.290688351223357,1.0620668215765656,1.482735821436176,1.046278970977962,-13.65858317678485,48.029856018138894,118.0,94.80431848852902,25.79863906199593
india,golden_cross_50_200,none,equal_slot,0.25,none,none,13.77138705531853,0.7684159381589544,1.090648664000678,0.4822652853520796,-28.55562586318996,46.06343319521385,54.0,97.3549257759784,25.79863906199593
india,golden_cross_50_200,none,equal_slot,0.25,none,0.15,11.713069782560614,0.8704895939729743,1.2168712486592388,0.8388654675544605,-13.962989580090426,38.43877150743309,123.0,92.90148448043185,25.79863906199593
india,golden_cross_50_200,none,equal_slot,0.25,none,0.25,18.934600311290637,1.1001045091381008,1.5723172114250226,0.9260896755499731,-20.445752513163505,66.39611345179071,59.0,97.13900134952766,25.79863906199593
india,golden_cross_50_200,none,equal_slot,0.25,0.25,none,19.515946145407483,1.4167816790033592,1.978321252275464,1.7723929745122178,-11.011071712681826,68.79579932041466,100.0,96.58569500674764,25.79863906199593
india,golden_cross_50_200,none,equal_slot,0.25,0.25,0.15,11.110231764759781,0.8782348770517646,1.2099380380409124,0.7533456640330334,-14.747853867348482,36.256472425038,153.0,92.83400809716599,25.79863906199593
india,golden_cross_50_200,none,equal_slot,0.25,0.25,0.25,14.68996719504958,1.0510393679929961,1.4541036903357571,0.8460154688494461,-17.363709927228,49.5536074351407,112.0,95.53306342780029,25.79863906199593
india,golden_cross_50_200,bull,equal_slot,none,none,none,2.4497961963519055,0.22308286275073716,0.30836620000126563,0.06626254542840745,-36.97105477179046,7.3657902555589905,42.0,83.84615384615385,25.79863906199593
india,golden_cross_50_200,bull,equal_slot,none,none,0.15,8.858769913605835,0.7562461687211323,1.0665383713053378,0.6297512240893255,-14.06709439337157,28.30681748372328,88.0,74.3859649122807,25.79863906199593
india,golden_cross_50_200,bull,equal_slot,none,none,0.25,12.096831898984494,0.7971310872092605,1.125536691090609,0.49342345183729763,-24.51612677496595,39.83994116520271,45.0,79.70310391363023,25.79863906199593
india,golden_cross_50_200,bull,equal_slot,none,0.25,none,2.6545508546720553,0.2713323093589346,0.36235378907615884,0.09625645290672448,-27.577900229134748,7.997125343975386,71.0,79.2982456140351,25.79863906199593
india,golden_cross_50_200,bull,equal_slot,none,0.25,0.15,9.454059716177898,0.8671704275926149,1.208993838579457,0.6145838149523398,-15.382864771521925,30.378118879994066,111.0,72.86099865047233,25.79863906199593
india,golden_cross_50_200,bull,equal_slot,none,0.25,0.25,0.5585372427498569,0.1075115160765845,0.1413189941962053,0.019288016516306423,-28.957733537694757,1.649034533250271,89.0,78.08367071524967,25.79863906199593
india,golden_cross_50_200,bull,equal_slot,0.08,none,none,8.18849714716061,0.5227165077744342,0.7047287071305515,0.32395948325903706,-25.276300186628937,26.00072274762326,59.0,79.527665317139,25.79863906199593
india,golden_cross_50_200,bull,equal_slot,0.08,none,0.15,6.1834711209771465,0.5615480956414814,0.7842555903691218,0.3756652011350998,-16.46005832398992,19.26591578385448,105.0,68.42105263157895,25.79863906199593
india,golden_cross_50_200,bull,equal_slot,0.08,none,0.25,8.974891274904673,0.5953621863918397,0.790891348599878,0.39631140701551376,-22.646058417776878,28.70914347247322,69.0,77.01754385964912,25.79863906199593
india,golden_cross_50_200,bull,equal_slot,0.08,0.25,none,9.459323806579544,0.8682131575094278,1.2193388940562702,0.523160994957967,-18.08109529904757,30.396532856208825,125.0,70.13495276653171,25.79863906199593
india,golden_cross_50_200,bull,equal_slot,0.08,0.25,0.15,10.928826277061088,1.0311329218501575,1.442241106201695,0.8325438251655719,-13.127028207659365,35.60424666404298,136.0,67.67881241565452,25.79863906199593
india,golden_cross_50_200,bull,equal_slot,0.08,0.25,0.25,8.353305693857704,0.7705707865081489,1.0762216302057246,0.4427572479681432,-18.86655889246726,26.56519586975785,125.0,69.73009446693658,25.79863906199593
india,golden_cross_50_200,bull,equal_slot,0.15,none,none,13.29099547761392,0.7920995543546425,1.1379532058678032,0.48567503342491813,-27.366025763950685,44.25975870293921,45.0,82.24021592442645,25.79863906199593
india,golden_cross_50_200,bull,equal_slot,0.15,none,0.15,8.776377868612407,0.7486828187498247,1.054808699281511,0.622679262668001,-14.094540150587573,28.021857117445204,88.0,74.3859649122807,25.79863906199593
india,golden_cross_50_200,bull,equal_slot,0.15,none,0.25,16.62583038323109,1.0818391306358865,1.563549110224268,0.7863385203989618,-21.14334978120581,57.088108529332146,50.0,81.5519568151147,25.79863906199593
india,golden_cross_50_200,bull,equal_slot,0.15,0.25,none,1.6511699785593192,0.19475738826353595,0.256683785233602,0.057628997374621245,-28.651721421175797,4.926591468776498,90.0,76.28879892037787,25.79863906199593
india,golden_cross_50_200,bull,equal_slot,0.15,0.25,0.15,9.189594118559864,0.8396646559055737,1.16557180026034,0.5902982771504588,-15.567712924592467,29.455214433013133,111.0,72.86099865047233,25.79863906199593
