Total Return,CAGR,Volatility (ann.),Sharpe,Sortino,Calmar,Probabilistic Sharpe,Max Drawdown,Hit Rate,Alpha (ann.),Beta,Benchmark Return,Trades,Unique Tickers,Median Trade Return,Avg Trade Return,Best Trade,Worst Trade,Profit Factor,Winning Trades,Losing Trades,market,strategy,years,top,hold,status
+28.89%,+9.03%,+14.30%,+0.676,+0.967,+0.431,+87.60%,-20.94%,+54.25%,+2.68%,+0.807,+25.81%,800,314,+0.93%,+0.60%,+42.13%,-32.93%,+1.213,434,366,india,cci_reversion,3,20,20,ok
-1.33%,-0.68%,+18.34%,+0.055,+0.078,-0.027,+53.06%,-25.46%,+49.16%,-0.14%,+1.052,+0.43%,535,257,-0.11%,-0.17%,+29.30%,-31.58%,+0.927,263,268,india,cci_reversion,2,20,20,ok
+8.15%,+8.25%,+16.84%,+0.555,+0.816,+0.385,+70.98%,-21.42%,+52.54%,+9.46%,+0.991,-0.54%,276,174,+0.55%,+0.28%,+29.30%,-29.19%,+1.078,145,131,india,cci_reversion,1,20,20,ok
+72.35%,+11.73%,+18.22%,+0.700,+0.973,+0.410,+93.77%,-28.60%,+51.69%,+4.88%,+0.875,+49.42%,"1,180",408,+0.46%,+1.29%,+75.36%,-50.56%,+1.356,610,557,india,short_term_reversal,5,20,20,ok
+62.10%,+17.88%,+15.75%,+1.124,+1.663,+0.893,+97.26%,-20.02%,+52.09%,+11.99%,+0.732,+25.81%,718,340,+0.39%,+1.73%,+91.28%,-42.02%,+1.501,374,344,india,short_term_reversal,3,20,20,ok
+3.36%,+1.69%,+23.66%,+0.189,+0.274,+0.065,+60.47%,-25.83%,+47.71%,+3.25%,+1.171,+0.43%,480,285,-0.15%,+0.18%,+47.11%,-38.58%,+1.035,229,242,india,short_term_reversal,2,20,20,ok
+6.95%,+7.04%,+21.31%,+0.426,+0.639,+0.278,+66.41%,-25.30%,+47.92%,+9.09%,+1.159,-0.54%,240,181,-0.08%,+0.74%,+57.90%,-30.96%,+1.157,115,121,india,short_term_reversal,1,20,20,ok
+12.39%,+2.41%,+8.68%,+0.318,+0.409,+0.147,+74.87%,-16.39%,+51.50%,+0.65%,+0.232,+49.42%,"1,200",213,+0.08%,+0.21%,+43.19%,-60.62%,+1.125,618,582,india,turn_of_month,5,20,20,ok
-2.47%,-0.85%,+10.35%,-0.029,-0.036,-0.046,+48.01%,-18.50%,+46.39%,-3.08%,+0.325,+25.81%,720,181,-0.35%,-0.08%,+43.19%,-60.62%,+0.962,334,386,india,turn_of_month,3,20,20,ok
-1.83%,-0.93%,+7.43%,-0.088,-0.121,-0.131,+45.07%,-7.10%,+47.50%,-0.82%,+0.155,+0.43%,480,150,-0.31%,-0.09%,+43.19%,-60.62%,+0.956,228,252,india,turn_of_month,2,20,20,ok
