market,strategy,years,kind,regime,sl,tp,trail,cagr,sharpe,sortino,calmar,max_drawdown,total_return,trades,exposure,benchmark_return
india,golden_cross_50_200,5,tuned,"bull,pullback",none,0.25,0.15,10.373154014103147,0.9158010477423877,1.2529067472808717,0.4935871065795064,-21.015852877494588,62.71428542893136,207.0,75.7556270096463,49.50593615427277
india,golden_cross_50_200,5,baseline,"bull,pullback",none,none,none,12.95289666717192,0.7391088338865884,1.0155782409311855,0.4533276691976412,-28.572923179601318,82.35530017742083,73.0,96.45498392282958,49.50593615427277
india,golden_cross_50_200,2,tuned,"bull,pullback",none,0.25,0.15,3.986750078649859,0.3634129533849305,0.4830006436364765,0.22741643938468545,-17.530615154457177,8.065363460348586,83.0,66.9061876247505,0.487739762599082
india,golden_cross_50_200,2,baseline,"bull,pullback",none,none,none,3.4412097686624676,0.2758784279406402,0.38804176981379085,0.13884777853856572,-24.784046276308647,6.943390949881789,46.0,96.50698602794412,0.487739762599082
india,golden_cross_50_200,1,tuned,"bull,pullback",none,0.25,0.15,-8.663866202612503,-0.6934504984628905,-0.8961792785608611,-0.626988794333079,-13.818215382665908,-8.631014188728049,39.0,68.80952380952381,-0.4852542500421997
india,golden_cross_50_200,1,baseline,"bull,pullback",none,none,none,-16.903028508338135,-1.0618762142054514,-1.3614889811335573,-0.7166374644965365,-23.586582261943448,-16.841948946265607,31.0,96.58730158730158,-0.4852542500421997
india,fifty_two_week_high,5,tuned,bull,0.25,0.25,none,11.957036561634116,0.8468230866894637,1.1714006343062726,0.3828693130263497,-31.230072912140685,74.56129273056243,317.0,72.90192926045016,49.50593615427277
india,fifty_two_week_high,5,baseline,bull,none,none,none,14.853981283387174,0.8488113360868235,1.1686368234132642,0.4166540167345566,-35.650637427672756,98.00346880335758,308.0,98.19131832797427,49.50593615427277
india,fifty_two_week_high,2,tuned,bull,0.25,0.25,none,3.534969961923906,0.3215820636026774,0.43259948469698406,0.21527430936278905,-16.420770190309288,7.13580730030865,100.0,58.26347305389221,0.487739762599082
india,fifty_two_week_high,2,baseline,bull,none,none,none,7.622474577364025,0.4504680596566057,0.6084790289339485,0.3822972697986084,-19.938605842985726,15.690993557158839,134.0,96.84630738522954,0.487739762599082
india,fifty_two_week_high,1,tuned,bull,0.25,0.25,none,0.011706506291075947,0.06661055829821343,0.08638952376471269,0.0013211574793398845,-8.860795532811952,0.011660049192840916,44.0,56.62698412698413,-0.4852542500421997
india,fifty_two_week_high,1,baseline,bull,none,none,none,17.263843745937123,0.9141363736834476,1.2667648229850668,1.132118032075035,-15.249155350254947,17.189759998668585,68.0,97.65873015873015,-0.4852542500421997
india,bll_trading_range_break,5,tuned,"bull,pullback",none,none,0.15,7.587745553971903,0.5930747129057169,0.8149246103948274,0.2750070299091341,-27.59109669479719,43.44034030578434,170.0,86.72025723472669,49.50593615427277
india,bll_trading_range_break,5,baseline,"bull,pullback",none,none,none,17.04929772376893,1.0027655287967145,1.3520031083662691,0.7665176137995674,-22.242538745139733,117.38615444047409,54.0,99.84726688102894,49.50593615427277
