market,strategy,years,hold,variant,Starting Capital,Final Equity,Total Return,Invested Return,CAGR,Volatility (ann.),Sharpe,Sortino,Calmar,Probabilistic Sharpe,Deflated Sharpe,Max Drawdown,Hit Rate,Alpha (ann.),Beta,Avg Exposure,Benchmark Return,Trades,Unique Tickers,Median Trade Return,Avg Trade Return,Best Trade,Worst Trade,Profit Factor,Expectancy,Winning Trades,Losing Trades,Regime Bull Trades,Regime Bull Win Rate,Regime Bull Avg Return,Regime Bear Trades,Regime Bear Win Rate,Regime Bear Avg Return,Total Fees,Fee Stt,Fee Stamp Duty,Fee Exchange Txn,Fee Sebi,Fee Gst,Fee Ipft,Fees Pct Capital,Fees Pct Net Pnl,Regime Pullback Trades,Regime Pullback Win Rate,Regime Pullback Avg Return
india,momentum_quality_pe60,3,63,none,"100,000.00","157,872.48",+57.87%,+10.92%,+16.82%,+8.82%,+1.807,+2.626,+2.159,+99.78%,+99.78%,-7.79%,+69.81%,+13.72%,+0.354,+43.81%,+25.92%,53,34,+7.69%,+10.92%,+96.95%,-58.96%,+3.869,+10.92%,37,16,32,+59.38%,+11.31%,21,+85.71%,+10.33%,"1,238.87","1,117.85",79.41,33.20,1.12,6.18,1.12,+1.24%,+2.14%,,,
india,momentum_quality_pe60,5,63,none,"100,000.00","176,082.75",+76.08%,+9.10%,+12.23%,+10.49%,+1.153,+1.652,+0.481,+99.36%,+99.36%,-25.44%,+62.35%,+9.26%,+0.361,+42.80%,+48.05%,85,51,+7.69%,+9.16%,+109.90%,-58.96%,+2.594,+9.16%,53,32,52,+48.08%,+4.01%,22,+86.36%,+11.91%,"1,937.59","1,747.34",125.20,51.90,1.75,9.66,1.75,+1.94%,+2.55%,11,+81.82%,+27.98%
india,momentum_quality_pe,3,63,none,"100,000.00","154,327.89",+54.33%,+11.56%,+15.92%,+8.83%,+1.718,+2.499,+2.078,+99.66%,+99.66%,-7.66%,+70.21%,+12.95%,+0.342,+38.62%,+25.92%,47,33,+8.67%,+11.56%,+96.95%,-58.96%,+3.891,+11.56%,33,14,27,+59.26%,+12.45%,20,+85.00%,+10.35%,"1,101.75",994.31,70.42,29.53,0.99,5.49,0.99,+1.10%,+2.03%,,,
india,momentum_quality_pe,5,63,none,"100,000.00","171,153.79",+71.15%,+9.45%,+11.58%,+10.07%,+1.138,+1.644,+0.476,+99.31%,+99.31%,-24.32%,+62.34%,+8.83%,+0.336,+38.66%,+48.05%,77,49,+8.67%,+9.69%,+109.90%,-58.96%,+2.637,+9.69%,48,29,45,+46.67%,+4.35%,21,+85.71%,+11.54%,"1,748.09","1,576.62",112.78,46.83,1.58,8.71,1.58,+1.75%,+2.46%,11,+81.82%,+27.98%
