market,strategy,years,Starting Capital,Final Equity,Total Return,Invested Return,CAGR,Volatility (ann.),Sharpe,Sortino,Calmar,Probabilistic Sharpe,Deflated Sharpe,Max Drawdown,Hit Rate,Alpha (ann.),Beta,Avg Exposure,Benchmark Return,Trades,Unique Tickers,Median Trade Return,Avg Trade Return,Best Trade,Worst Trade,Profit Factor,Expectancy,Winning Trades,Losing Trades,Regime Bull Trades,Regime Bull Win Rate,Regime Bull Avg Return,Regime Pullback Trades,Regime Pullback Win Rate,Regime Pullback Avg Return,Regime Bear Trades,Regime Bear Win Rate,Regime Bear Avg Return,Total Fees,Fee Stt,Fee Stamp Duty,Fee Exchange Txn,Fee Sebi,Fee Gst,Fee Ipft,Fees Pct Capital,Fees Pct Net Pnl,Fee Commission,hold,variant,sharpe_num,sharpe
india,momentum_quality,3,"100,000.00","148,495.97",+48.50%,+10.78%,+14.41%,+9.88%,1.412,2.021,1.096,+99.05%,+99.05%,-13.15%,+55.56%,+11.32%,0.37,+51.62%,+25.92%,45,30,+5.00%,+10.78%,+120.13%,-33.04%,2.923,+10.78%,25,20,38,+55.26%,+8.64%,7.0,+57.14%,+22.40%,,,,"1,051.21",948.48,67.42,28.17,0.95,5.24,0.95,+1.05%,+2.17%,,84,regime,,1.412
india,momentum_quality,5,"100,000.00","146,041.34",+46.04%,+8.32%,+8.02%,+7.32%,1.091,1.571,0.435,+99.12%,+99.12%,-18.43%,+57.83%,+5.99%,0.236,+28.61%,+49.54%,83,47,+4.00%,+8.32%,+109.90%,-51.06%,2.452,+8.32%,48,35,61,+49.18%,+3.26%,21.0,+85.71%,+23.67%,1.0,+0.00%,-5.40%,"1,278.49","1,152.67",82.9,34.23,1.15,6.37,1.15,+1.28%,+2.78%,,63,regime_top15,,1.091
india,nifty_momentum,3,"100,000.00","139,123.24",+39.12%,+3.91%,+11.90%,+16.98%,0.748,0.997,0.602,+89.41%,+89.41%,-19.76%,+53.33%,+6.70%,0.713,+86.37%,+25.92%,150,94,+2.86%,+3.91%,+97.11%,-60.56%,1.562,+3.91%,80,70,135,+50.37%,+2.80%,15.0,+80.00%,+13.93%,,,,"2,264.74","2,039.02",149.82,60.56,2.04,11.27,2.04,+2.26%,+5.79%,,63,regime_top15,,0.748
india,rs_trend,3,"100,000.00","158,068.27",+58.07%,+5.81%,+16.87%,+17.62%,0.974,1.323,1.11,+94.71%,+94.71%,-15.20%,+50.00%,+11.75%,0.693,+86.38%,+25.92%,150,92,+0.63%,+5.81%,+110.08%,-60.56%,1.817,+5.81%,75,75,135,+45.93%,+4.13%,15.0,+86.67%,+20.86%,,,,"2,284.41","2,057.98",149.82,61.12,2.06,11.37,2.06,+2.28%,+3.93%,,63,regime_top15,,0.974
india,quality_mom_lowvol,1,"100,000.00","100,068.98",+0.07%,+0.09%,+0.07%,+5.83%,0.041,0.055,0.01,+51.63%,+51.63%,-6.68%,+50.00%,+0.22%,0.05,+20.48%,-0.46%,8,8,+1.71%,+0.09%,+29.08%,-26.15%,1.013,+0.09%,4,4,8,+50.00%,+0.09%,,,,,,,178.00,160.06,11.99,4.75,0.16,0.88,0.16,+0.18%,+258.04%,,63,regime,,0.041
india,quality_mom_lowvol,3,"100,000.00","149,010.57",+49.01%,+10.89%,+14.55%,+7.82%,1.776,2.695,1.897,+99.84%,+99.84%,-7.67%,+62.22%,+12.19%,0.273,+38.87%,+25.92%,45,30,+6.53%,+10.89%,+96.95%,-26.62%,3.759,+10.89%,28,17,38,+57.89%,+9.04%,7.0,+85.71%,+20.93%,,,,"1,051.74",949.00,67.42,28.19,0.95,5.24,0.95,+1.05%,+2.15%,,63,regime,,1.776
india,quality_mom_lowvol,5,"100,000.00","154,948.83",+54.95%,+6.90%,+9.33%,+10.55%,0.898,1.269,0.362,+97.46%,+97.46%,-25.79%,+58.02%,+6.54%,0.344,+41.87%,+49.54%,81,47,+4.00%,+8.40%,+109.90%,-51.06%,2.176,+8.40%,47,34,60,+48.33%,+3.05%,21.0,+85.71%,+23.67%,,,,"1,829.36","1,648.60",119.39,48.96,1.65,9.11,1.65,+1.83%,+3.33%,,63,regime,,0.898
india,supertrend_expr,1,"100,000.00","89,735.38",-10.26%,-1.70%,-10.38%,+17.59%,-0.535,-0.723,-0.393,+29.69%,+29.69%,-26.44%,+29.03%,-9.21%,0.636,+64.56%,-0.46%,62,49,-3.77%,-1.62%,+59.11%,-23.27%,0.681,-1.62%,18,44,51,+31.37%,+0.28%,10.0,+20.00%,-9.60%,1.0,+0.00%,-18.29%,"1,334.59","1,199.33",90.62,35.62,1.2,6.63,1.2,+1.33%,-13.00%,,250,regime,,-0.535
india,supertrend_expr,3,"100,000.00","136,020.28",+36.02%,+1.98%,+11.04%,+16.37%,0.723,0.972,0.572,+88.45%,+88.45%,-19.32%,+41.21%,+6.16%,0.67,+82.97%,+25.92%,182,104,-2.46%,+2.01%,+165.20%,-32.82%,1.46,+2.01%,75,107,143,+41.26%,+3.06%,38.0,+42.11%,-1.40%,1.0,+0.00%,-18.29%,"4,080.16","3,671.17",272.33,109.03,3.67,20.29,3.67,+4.08%,+11.33%,,250,regime,,0.723
india,supertrend_expr,5,"100,000.00","143,684.70",+43.68%,+1.36%,+7.66%,+17.07%,0.519,0.687,0.244,+86.99%,+86.99%,-31.41%,+34.55%,+2.16%,0.734,+85.67%,+49.54%,330,148,-3.38%,+1.36%,+188.44%,-32.82%,1.295,+1.36%,114,216,246,+34.15%,+1.60%,80.0,+37.50%,+1.39%,4.0,+0.00%,-13.97%,"7,191.66","6,469.43",481.39,192.14,6.47,35.75,6.47,+7.19%,+16.46%,,250,regime,,0.519
