market,strategy,years,Starting Capital,Final Equity,Total Return,Invested Return,CAGR,Volatility (ann.),Sharpe,Sortino,Calmar,Probabilistic Sharpe,Deflated Sharpe,Max Drawdown,Hit Rate,Alpha (ann.),Beta,Avg Exposure,Benchmark Return,Trades,Unique Tickers,Median Trade Return,Avg Trade Return,Best Trade,Worst Trade,Profit Factor,Expectancy,Winning Trades,Losing Trades,Regime Bull Trades,Regime Bull Win Rate,Regime Bull Avg Return,Regime Pullback Trades,Regime Pullback Win Rate,Regime Pullback Avg Return,Regime Bear Trades,Regime Bear Win Rate,Regime Bear Avg Return,Total Fees,Fee Stt,Fee Stamp Duty,Fee Exchange Txn,Fee Sebi,Fee Gst,Fee Ipft,Fees Pct Capital,Fees Pct Net Pnl,Fee Commission
india,rs_trend,1,"100,000.00","82,409.72",-17.59%,-4.85%,-17.78%,+25.99%,-0.621,-0.795,-0.698,+26.45%,+26.45%,-25.48%,+32.50%,-15.29%,+1.104,+99.60%,-0.46%,40,32,-4.90%,-2.58%,+56.81%,-50.86%,+0.521,-2.58%,13,27,30,+30.00%,-4.38%,,,,10,+40.00%,+2.81%,788.58,707.87,54.35,21.02,0.71,3.91,0.71,+0.79%,-4.48%,
india,rs_trend,2,"100,000.00","82,661.50",-17.34%,-2.39%,-9.19%,+29.85%,-0.173,-0.233,-0.335,+40.40%,+40.40%,-27.42%,+36.25%,-6.37%,+1.264,+99.80%,+0.51%,80,53,-6.05%,-2.46%,+106.68%,-53.93%,+0.778,-2.46%,29,49,49,+32.65%,-6.87%,11,+27.27%,+8.28%,20,+50.00%,+2.43%,"1,596.01","1,433.91",108.72,42.59,1.43,7.92,1.43,+1.60%,-9.21%,
india,rs_trend,3,"100,000.00","159,815.60",+59.82%,+4.98%,+17.31%,+20.08%,+0.896,+1.254,+1.059,+93.41%,+93.41%,-16.34%,+50.00%,+11.90%,+0.774,+99.87%,+25.92%,120,79,-0.20%,+4.98%,+98.25%,-53.58%,+1.674,+4.98%,60,60,90,+46.67%,+4.56%,,,,30,+60.00%,+6.26%,"2,731.05","2,459.70",179.79,73.05,2.46,13.59,2.46,+2.73%,+4.57%,
india,rs_trend,5,"100,000.00","254,289.53",+154.29%,+7.75%,+20.94%,+18.24%,+1.134,+1.577,+0.769,+99.27%,+99.27%,-27.25%,+55.28%,+15.67%,+0.669,+99.92%,+49.54%,199,112,+2.71%,+7.75%,+127.65%,-64.29%,+2.103,+7.75%,110,89,129,+51.94%,+9.52%,31,+58.06%,+5.76%,39,+64.10%,+3.50%,"4,586.20","4,134.16",298.15,122.78,4.13,22.85,4.13,+4.59%,+2.97%,
india,vwap_trend,1,"100,000.00","111,841.67",+11.84%,+2.41%,+11.99%,+19.78%,+0.672,+0.927,+0.598,+74.40%,+74.40%,-20.06%,+46.00%,+13.75%,+1.030,+99.60%,-0.46%,50,36,-1.68%,+3.13%,+66.12%,-58.60%,+1.357,+3.13%,23,27,30,+43.33%,+3.99%,3,+0.00%,-10.02%,17,+58.82%,+3.95%,"1,105.73",995.03,73.66,29.55,1.00,5.50,1.00,+1.11%,+9.34%,
india,vwap_trend,2,"100,000.00","84,085.03",-15.91%,-2.11%,-8.40%,+21.26%,-0.306,-0.410,-0.288,+33.30%,+33.30%,-29.16%,+40.96%,-7.45%,+1.110,+99.80%,+0.51%,83,52,-1.57%,-1.32%,+66.12%,-62.50%,+0.690,-1.32%,34,48,50,+36.00%,-3.92%,10,+50.00%,-1.20%,23,+47.83%,+4.29%,"1,658.24","1,489.96",112.82,44.25,1.49,8.23,1.49,+1.66%,-10.42%,
india,vwap_trend,3,"100,000.00","148,691.84",+48.69%,+3.87%,+14.46%,+16.76%,+0.890,+1.252,+0.578,+93.21%,+93.21%,-25.04%,+49.21%,+7.44%,+0.888,+99.87%,+25.92%,126,78,-0.31%,+3.90%,+98.38%,-62.50%,+1.632,+3.90%,62,64,91,+49.45%,+3.28%,12,+25.00%,-4.98%,23,+60.87%,+11.01%,"2,848.95","2,564.96",188.51,76.18,2.56,14.17,2.56,+2.85%,+5.85%,
india,vwap_trend,5,"100,000.00","184,192.55",+84.19%,+4.17%,+13.25%,+14.80%,+0.915,+1.292,+0.704,+97.69%,+97.69%,-18.81%,+57.43%,+6.47%,+0.795,+99.92%,+49.54%,202,78,+2.08%,+4.17%,+139.62%,-58.68%,+1.808,+4.17%,116,86,129,+51.94%,+4.19%,35,+54.29%,-0.53%,38,+78.95%,+8.41%,"4,580.14","4,123.98",302.64,122.48,4.12,22.79,4.12,+4.58%,+5.44%,
us,chandelier_breakout,1,"100,000.00","141,064.98",+41.06%,+3.32%,+41.26%,+27.16%,+1.408,+2.185,+3.120,+92.01%,+92.01%,-13.22%,+40.00%,+20.72%,+0.915,+99.52%,+22.50%,125,95,-1.58%,+3.37%,+157.37%,-20.23%,+1.856,+3.37%,50,75,117,+41.03%,+2.58%,8,+25.00%,+14.81%,,,,251.74,,,,,,,+0.25%,+0.61%,251.74
us,chandelier_breakout,2,"100,000.00","151,147.22",+51.15%,+2.47%,+23.15%,+22.23%,+1.048,+1.542,+1.142,+92.88%,+92.88%,-20.27%,+40.87%,+11.59%,+0.584,+98.74%,+47.89%,208,133,-1.72%,+2.52%,+157.37%,-21.76%,+1.669,+2.52%,85,123,170,+42.94%,+2.12%,35,+31.43%,+4.93%,3,+33.33%,-2.92%,419.38,,,,,,,+0.42%,+0.82%,419.38
