market,strategy,years,hold,variant,Starting Capital,Final Equity,Total Return,Invested Return,CAGR,Volatility (ann.),Sharpe,Sortino,Calmar,Probabilistic Sharpe,Deflated Sharpe,Max Drawdown,Hit Rate,Alpha (ann.),Beta,Avg Exposure,Benchmark Return,Trades,Unique Tickers,Median Trade Return,Avg Trade Return,Best Trade,Worst Trade,Profit Factor,Expectancy,Winning Trades,Losing Trades,Regime Bull Trades,Regime Bull Win Rate,Regime Bull Avg Return,Regime Bear Trades,Regime Bear Win Rate,Regime Bear Avg Return,Total Fees,Fee Stt,Fee Stamp Duty,Fee Exchange Txn,Fee Sebi,Fee Gst,Fee Ipft,Fees Pct Capital,Fees Pct Net Pnl,Regime Pullback Trades,Regime Pullback Win Rate,Regime Pullback Avg Return,Fee Commission,sharpe
india,cmf_flow_factor,1,63,base,"100,000.00","101,054.62",+1.05%,+0.28%,+1.07%,+18.98%,+0.151,+0.213,+0.042,+55.95%,+55.95%,-25.63%,+42.50%,+2.87%,+1.006,+99.60%,-0.82%,40,37,-1.49%,+0.87%,+39.67%,-37.89%,+1.045,+0.87%,17,22,30,+30.00%,-2.88%,10,+80.00%,+12.13%,845.69,760.49,56.89,22.59,0.76,4.20,0.76,+0.85%,+80.19%,,,,,0.151
india,deep_value,1,126,base,"100,000.00","106,955.86",+6.96%,+23.19%,+7.04%,+5.68%,+1.226,+2.028,+1.794,+89.29%,+89.29%,-3.92%,+66.67%,+7.21%,+0.050,+12.36%,-0.82%,3,2,+29.87%,+23.19%,+46.74%,-7.05%,+10.870,+23.19%,2,1,1,+100.00%,+29.87%,2,+50.00%,+19.85%,73.95,66.96,4.49,1.99,0.07,0.37,0.07,+0.07%,+1.06%,,,,,1.226
india,delivery_accumulation,1,63,base,"100,000.00","119,670.16",+19.67%,+1.94%,+19.93%,+18.67%,+1.067,+1.599,+1.808,+85.61%,+85.61%,-11.03%,+47.06%,+21.99%,+0.843,+99.60%,-0.82%,51,39,-0.67%,+1.93%,+54.54%,-58.97%,+1.403,+1.93%,24,27,30,+53.33%,+3.09%,19,+42.11%,+1.22%,"1,133.11","1,019.51",75.64,30.28,1.02,5.63,1.02,+1.13%,+11.54%,2,+0.00%,-8.76%,,1.067
india,garp,1,126,base,"100,000.00","101,257.16",+1.26%,+1.14%,+1.27%,+12.77%,+0.164,+0.209,+0.116,+56.35%,+56.35%,-11.00%,+72.73%,+2.10%,+0.419,+36.12%,-0.82%,11,11,+9.84%,+1.14%,+21.01%,-59.28%,+1.134,+1.14%,8,3,2,+0.00%,-17.14%,9,+88.89%,+5.21%,245.96,221.24,16.48,6.57,0.22,1.22,0.22,+0.25%,+19.56%,,,,,0.164
india,keltner_squeeze_breakout,1,250,base,"100,000.00","97,774.32",-2.23%,-0.14%,-2.25%,+18.89%,-0.026,-0.034,-0.098,+48.99%,+48.99%,-22.88%,+33.33%,-0.51%,+0.768,+98.28%,-0.82%,165,130,-3.00%,-0.09%,+59.11%,-15.75%,+0.961,-0.09%,55,110,82,+35.37%,+0.88%,67,+37.31%,+0.22%,"3,446.46","3,098.79",232.32,92.03,3.10,17.12,3.10,+3.45%,-154.85%,16,+6.25%,-6.33%,,-0.026
india,momentum_quality_pe60,1,63,base,"100,000.00","106,118.31",+6.12%,+2.92%,+6.19%,+12.44%,+0.546,+0.698,+0.548,+69.59%,+69.59%,-11.31%,+71.43%,+7.02%,+0.352,+48.08%,-0.82%,21,16,+5.93%,+2.93%,+29.08%,-58.96%,+1.532,+2.93%,15,6,7,+42.86%,-0.39%,14,+85.71%,+4.59%,472.80,425.54,31.42,12.64,0.43,2.35,0.43,+0.47%,+7.73%,,,,,0.546
india,nifty_momentum,1,126,base,"100,000.00","94,122.80",-5.88%,-2.96%,-5.95%,+23.15%,-0.149,-0.208,-0.299,+44.13%,+44.13%,-19.86%,+35.00%,-3.44%,+1.352,+98.80%,-0.82%,20,20,-3.07%,-2.95%,+28.48%,-40.13%,+0.638,-2.95%,7,13,20,+35.00%,-2.95%,,,,436.16,391.78,29.79,11.64,0.39,2.16,0.39,+0.44%,-7.42%,,,,,-0.149
india,nov_apr_trend,1,63,base,"100,000.00","99,566.01",-0.43%,-0.10%,-0.44%,+8.30%,-0.011,-0.015,-0.039,+49.55%,+49.55%,-11.21%,+29.55%,-0.11%,+0.382,+48.40%,-0.82%,44,28,-1.58%,-0.06%,+17.20%,-10.17%,+0.956,-0.06%,13,31,32,+18.75%,-0.82%,6,+50.00%,+3.62%,957.15,860.61,64.51,25.56,0.86,4.76,0.86,+0.96%,-220.55%,6,+66.67%,+0.36%,,-0.011
india,obv_flow_trend,1,63,base,"100,000.00","104,335.03",+4.34%,+0.82%,+4.39%,+21.08%,+0.309,+0.444,+0.200,+62.05%,+62.05%,-21.93%,+46.30%,+6.69%,+1.108,+99.60%,-0.82%,54,48,-0.84%,+0.86%,+49.85%,-39.69%,+1.150,+0.86%,25,29,33,+42.42%,-0.56%,18,+55.56%,+4.10%,"1,181.09","1,062.29",79.26,31.55,1.06,5.87,1.06,+1.18%,+27.25%,3,+33.33%,-2.88%,,0.309
india,pre_holiday_trend,1,10,base,"100,000.00","101,830.70",+1.83%,+0.44%,+1.85%,+2.86%,+0.656,+1.137,+1.160,+75.56%,+75.56%,-1.60%,+54.76%,+1.89%,+0.030,+3.84%,-0.82%,42,36,+0.28%,+0.44%,+8.90%,-4.03%,+1.698,+0.44%,23,19,10,+90.00%,+2.02%,22,+54.55%,+0.37%,936.03,841.77,62.93,25.00,0.84,4.65,0.84,+0.94%,+51.13%,10,+20.00%,-1.01%,,0.656
india,quality_lowbeta,1,126,base,"100,000.00","112,059.57",+12.06%,+6.13%,+12.21%,+12.55%,+0.981,+1.405,+1.300,+83.23%,+83.23%,-9.40%,+55.00%,+13.07%,+0.651,+86.68%,-0.82%,20,15,+3.19%,+6.51%,+44.97%,-17.61%,+2.485,+6.51%,11,9,10,+30.00%,-2.65%,10,+80.00%,+15.67%,450.18,405.60,29.48,12.05,0.41,2.24,0.41,+0.45%,+3.73%,,,,,0.981
india,quality_lowvol,1,126,base,"100,000.00","102,002.43",+2.00%,+1.06%,+2.03%,+12.47%,+0.223,+0.303,+0.135,+58.74%,+58.74%,-14.96%,+50.00%,+2.80%,+0.713,+86.72%,-0.82%,20,16,+0.15%,+3.88%,+66.76%,-35.44%,+1.163,+3.88%,10,10,10,+20.00%,-9.95%,10,+80.00%,+17.71%,423.51,380.94,28.39,11.31,0.38,2.11,0.38,+0.42%,+21.15%,,,,,0.223
india,quality_stability,1,126,base,"100,000.00","118,181.49",+18.18%,+9.25%,+18.42%,+15.52%,+1.167,+1.783,+1.353,+87.78%,+87.78%,-13.62%,+65.00%,+19.81%,+0.810,+86.28%,-0.82%,20,18,+7.17%,+9.47%,+66.76%,-35.44%,+2.930,+9.47%,13,7,10,+40.00%,+2.11%,10,+90.00%,+16.83%,456.20,411.42,29.46,12.22,0.41,2.27,0.41,+0.46%,+2.51%,,,,,1.167
india,quality_value,1,126,base,"100,000.00","120,355.37",+20.36%,+17.91%,+20.62%,+13.08%,+1.500,+2.181,+2.809,+92.26%,+92.26%,-7.34%,+66.67%,+21.64%,+0.430,+46.96%,-0.82%,12,12,+15.42%,+20.14%,+116.41%,-59.28%,+2.651,+20.14%,8,4,2,+0.00%,-31.79%,10,+80.00%,+30.53%,273.89,247.64,17.03,7.35,0.25,1.37,0.25,+0.27%,+1.35%,,,,,1.5
india,seasonal_strong_trend,1,63,base,"100,000.00","112,678.38",+12.68%,+3.35%,+12.84%,+4.97%,+2.458,+4.482,+5.788,+99.47%,+99.47%,-2.22%,+73.68%,+12.97%,+0.118,+33.60%,-0.82%,38,24,+3.40%,+3.34%,+17.20%,-4.59%,+7.652,+3.34%,28,10,14,+64.29%,+2.08%,24,+79.17%,+4.08%,855.28,769.89,56.73,22.87,0.77,4.25,0.77,+0.86%,+6.75%,,,,,2.458
india,tom_window_trend,1,21,base,"100,000.00","105,481.51",+5.48%,+0.40%,+5.55%,+5.24%,+1.056,+1.507,+1.435,+84.11%,+84.11%,-3.87%,+53.68%,+5.69%,+0.046,+20.00%,-0.82%,136,45,+0.21%,+0.40%,+14.30%,-5.70%,+1.447,+0.40%,73,63,52,+51.92%,+0.22%,62,+50.00%,+0.23%,"3,030.29","2,725.10",203.74,80.94,2.73,15.06,2.73,+3.03%,+55.28%,22,+68.18%,+1.30%,,1.056
india,value_momentum_harness,1,126,base,"100,000.00","113,849.90",+13.85%,+46.17%,+14.03%,+6.88%,+1.943,+3.343,+3.054,+97.74%,+97.74%,-4.59%,+100.00%,+14.29%,+0.071,+10.48%,-0.82%,3,3,+44.97%,+46.17%,+85.98%,+7.55%,,+46.17%,3,0,,,,3,+100.00%,+46.17%,81.10,73.86,4.49,2.19,0.07,0.41,0.07,+0.08%,+0.59%,,,,,1.943
india,value_rank,1,126,base,"100,000.00","120,618.06",+20.62%,+51.55%,+20.89%,+8.37%,+2.308,+4.157,+4.115,+99.24%,+99.24%,-5.08%,+100.00%,+21.31%,+0.186,+15.16%,-0.82%,4,4,+28.70%,+51.55%,+136.38%,+12.40%,,+51.55%,4,0,,,,4,+100.00%,+51.55%,110.37,100.63,5.99,2.99,0.10,0.56,0.10,+0.11%,+0.54%,,,,,2.308
india,vcp_breakout,1,250,base,"100,000.00","105,452.17",+5.45%,+0.95%,+5.52%,+18.30%,+0.385,+0.538,+0.343,+64.84%,+64.84%,-16.10%,+37.70%,+7.28%,+0.670,+91.92%,-0.82%,61,57,-4.07%,+0.71%,+90.44%,-21.46%,+1.174,+0.71%,23,38,37,+29.73%,-0.61%,24,+50.00%,+2.74%,"1,276.06","1,147.76",85.58,34.09,1.15,6.34,1.15,+1.28%,+23.40%,,,,,0.385
india,vol_expansion_breakout,1,250,base,"100,000.00","97,307.49",-2.69%,-0.52%,-2.72%,+18.13%,-0.061,-0.082,-0.144,+47.57%,+47.57%,-18.94%,+32.76%,-1.13%,+0.593,+95.80%,-0.82%,58,57,-3.19%,+0.29%,+77.96%,-27.55%,+0.916,+0.29%,19,39,34,+26.47%,-2.93%,18,+44.44%,+5.06%,"1,147.48","1,031.59",77.49,30.64,1.03,5.70,1.03,+1.15%,-42.62%,6,+33.33%,+4.23%,,-0.061
india,vol_target_lowvol,1,63,base,"100,000.00","97,610.17",-2.39%,-0.60%,-2.42%,+8.85%,-0.232,-0.311,-0.279,+40.86%,+40.86%,-8.67%,+42.50%,-2.05%,+0.323,+78.04%,-0.82%,40,29,-1.68%,-0.62%,+23.61%,-21.76%,+0.868,-0.62%,17,23,20,+40.00%,-0.10%,20,+45.00%,-1.14%,883.29,794.06,59.67,23.58,0.79,4.39,0.79,+0.88%,-36.96%,,,,,-0.232
india,volume_surge,1,21,base,"100,000.00","121,881.82",+21.88%,+1.84%,+22.17%,+19.35%,+1.132,+1.640,+1.318,+86.70%,+86.70%,-16.82%,+51.67%,+24.44%,+0.928,+99.16%,-0.82%,120,104,+0.67%,+1.92%,+57.59%,-22.40%,+1.523,+1.92%,62,58,63,+36.51%,-1.51%,50,+70.00%,+6.37%,"2,666.75","2,399.32",178.11,71.26,2.40,13.26,2.40,+2.67%,+12.19%,7,+57.14%,+1.00%,,1.132
us,cmf_flow_factor,1,63,base,"100,000.00","137,848.26",+37.85%,+9.46%,+38.20%,+17.81%,+1.906,+3.187,+5.291,+97.42%,+97.42%,-7.22%,+45.00%,+22.42%,+0.678,+99.60%,+21.22%,40,39,-0.86%,+9.46%,+130.43%,-21.10%,+3.026,+9.46%,18,22,40,+45.00%,+9.46%,,,,83.79,,,,,,,+0.08%,+0.22%,,,,83.79,1.906
us,deep_value,1,126,base,"100,000.00","113,626.10",+13.63%,+19.47%,+13.74%,+6.98%,+1.880,+3.081,+3.732,+97.21%,+97.21%,-3.68%,+85.71%,+14.58%,-0.024,+27.25%,+21.22%,7,6,+19.60%,+19.47%,+46.77%,-9.67%,+15.090,+19.47%,6,1,7,+85.71%,+19.47%,,,,15.36,,,,,,,+0.02%,+0.11%,,,,15.36,1.88
us,delivery_accumulation,1,63,base,"100,000.00","155,832.65",+55.83%,+11.02%,+56.39%,+28.38%,+1.719,+2.569,+3.517,+95.51%,+95.51%,-16.03%,+61.90%,+16.51%,+1.656,+99.56%,+21.22%,42,22,+3.21%,+11.04%,+137.40%,-35.73%,+3.075,+11.04%,26,16,42,+61.90%,+11.04%,,,,88.19,,,,,,,+0.09%,+0.19%,,,,88.19,1.719
us,garp,1,126,base,"100,000.00","106,566.21",+6.57%,+3.35%,+6.62%,+16.00%,+0.481,+0.669,+0.722,+68.32%,+68.32%,-9.17%,+50.00%,-9.41%,+0.868,+86.57%,+21.22%,20,19,+1.88%,+2.85%,+72.62%,-44.08%,+1.393,+2.85%,10,10,19,+52.63%,+3.18%,,,,39.82,,,,,,,+0.04%,+0.61%,1,+0.00%,-3.37%,39.82,0.481
us,keltner_squeeze_breakout,1,250,base,"100,000.00","133,209.58",+33.21%,+1.45%,+33.52%,+27.60%,+1.186,+1.791,+2.426,+88.03%,+88.03%,-13.82%,+34.71%,+12.83%,+1.021,+99.08%,+21.22%,170,131,-2.51%,+1.47%,+164.42%,-17.79%,+1.436,+1.47%,59,111,162,+34.57%,+0.67%,,,,321.00,,,,,,,+0.32%,+1.39%,8,+37.50%,+17.69%,321.00,1.186
us,momentum_quality_pe60,1,63,base,"100,000.00","112,309.96",+12.31%,+3.11%,+12.41%,+18.38%,+0.729,+1.069,+1.016,+76.58%,+76.58%,-12.22%,+45.00%,-8.57%,+1.105,+95.14%,+21.22%,40,27,-0.63%,+2.94%,+52.97%,-19.30%,+1.720,+2.94%,18,22,39,+46.15%,+3.17%,,,,80.51,,,,,,,+0.08%,+0.65%,1,+0.00%,-6.12%,80.51,0.729
us,nifty_momentum,1,126,base,"100,000.00","170,823.95",+70.82%,+35.41%,+71.56%,+48.42%,+1.358,+1.984,+2.047,+91.06%,+91.06%,-34.95%,+85.00%,+21.42%,+2.290,+98.76%,+21.22%,20,20,+29.56%,+35.41%,+117.27%,-31.95%,+13.576,+35.41%,17,3,20,+85.00%,+35.41%,,,,47.08,,,,,,,+0.05%,+0.07%,,,,47.08,1.358
us,nov_apr_trend,1,63,base,"100,000.00","106,530.87",+6.53%,+1.95%,+6.58%,+8.59%,+0.785,+1.099,+1.174,+77.90%,+77.90%,-5.61%,+47.06%,+7.23%,-0.012,+49.00%,+21.22%,34,20,-0.29%,+1.99%,+20.90%,-7.89%,+2.404,+1.99%,16,18,33,+45.45%,+1.88%,,,,67.49,,,,,,,+0.07%,+1.03%,1,+100.00%,+5.67%,67.49,0.785
us,obv_flow_trend,1,63,base,"100,000.00","140,751.86",+40.75%,+6.33%,+41.14%,+32.98%,+1.211,+1.701,+1.762,+88.07%,+88.07%,-23.35%,+44.62%,+5.79%,+1.697,+99.60%,+21.22%,65,36,-2.38%,+6.28%,+113.25%,-38.46%,+2.077,+6.28%,29,36,65,+44.62%,+6.28%,,,,132.86,,,,,,,+0.13%,+0.33%,,,,132.86,1.211
us,pre_holiday_trend,1,10,base,"100,000.00","102,536.59",+2.54%,+0.36%,+2.56%,+3.71%,+0.699,+1.337,+1.540,+77.53%,+77.53%,-1.66%,+64.29%,+2.83%,-0.010,+5.58%,+21.22%,70,17,+0.33%,+0.36%,+2.49%,-1.01%,+3.066,+0.36%,45,25,60,+66.67%,+0.42%,,,,140.24,,,,,,,+0.14%,+5.53%,10,+50.00%,+0.05%,140.24,0.699
us,quality_lowbeta,1,126,base,"100,000.00","109,641.27",+9.64%,+4.90%,+9.72%,+14.89%,+0.698,+1.063,+0.802,+75.75%,+75.75%,-12.12%,+65.00%,+5.72%,+0.238,+98.41%,+21.22%,20,16,+8.04%,+4.94%,+47.12%,-32.81%,+1.728,+4.94%,13,7,20,+65.00%,+4.94%,,,,40.32,,,,,,,+0.04%,+0.42%,,,,40.32,0.698
us,quality_lowvol,1,126,base,"100,000.00","105,307.21",+5.31%,+2.72%,+5.35%,+14.63%,+0.429,+0.661,+0.394,+66.62%,+66.62%,-13.58%,+65.00%,+2.10%,+0.208,+98.41%,+21.22%,20,15,+6.35%,+2.79%,+26.71%,-31.17%,+1.473,+2.79%,13,7,20,+65.00%,+2.79%,,,,39.52,,,,,,,+0.04%,+0.74%,,,,39.52,0.429
us,quality_stability,1,126,base,"100,000.00","95,170.07",-4.83%,-2.55%,-4.87%,+15.85%,-0.236,-0.337,-0.255,+40.76%,+40.76%,-19.11%,+50.00%,-13.39%,+0.525,+95.98%,+21.22%,20,19,+0.89%,-2.41%,+26.71%,-45.54%,+0.688,-2.41%,10,9,18,+50.00%,-3.38%,,,,37.43,,,,,,,+0.04%,-0.77%,2,+50.00%,+6.28%,37.43,-0.236
us,quality_value,1,126,base,"100,000.00","108,247.18",+8.25%,+4.12%,+8.32%,+17.27%,+0.549,+0.807,+0.621,+70.77%,+70.77%,-13.39%,+65.00%,-3.77%,+0.658,+89.64%,+21.22%,20,20,+3.23%,+4.12%,+42.71%,-47.40%,+1.839,+4.12%,13,7,18,+66.67%,+4.01%,,,,40.82,,,,,,,+0.04%,+0.50%,2,+50.00%,+5.14%,40.82,0.549
us,seasonal_strong_trend,1,63,base,"100,000.00","95,159.58",-4.84%,-1.17%,-4.88%,+7.82%,-0.601,-0.824,-0.638,+27.56%,+27.56%,-7.64%,+33.33%,-4.27%,-0.017,+33.47%,+21.22%,42,21,-1.26%,-1.18%,+10.54%,-8.29%,+0.381,-1.18%,14,28,32,+28.12%,-1.31%,,,,81.96,,,,,,,+0.08%,-1.69%,10,+50.00%,-0.77%,81.96,-0.601
us,tom_window_trend,1,21,base,"100,000.00","93,654.40",-6.35%,-0.49%,-6.39%,+6.18%,-1.038,-1.390,-0.789,+15.50%,+15.50%,-8.10%,+50.75%,-5.71%,-0.026,+19.28%,+21.22%,134,22,+0.01%,-0.49%,+2.98%,-6.18%,+0.523,-0.49%,68,66,124,+47.58%,-0.63%,,,,259.19,,,,,,,+0.26%,-4.08%,10,+90.00%,+1.32%,259.19,-1.038
us,value_momentum_harness,1,126,base,"100,000.00","130,463.22",+30.46%,+16.03%,+30.74%,+14.10%,+1.972,+3.502,+3.482,+98.04%,+98.04%,-8.83%,+63.16%,+19.64%,+0.488,+60.40%,+21.22%,19,17,+0.96%,+16.03%,+272.73%,-26.85%,+4.770,+16.03%,12,7,19,+63.16%,+16.03%,,,,41.05,,,,,,,+0.04%,+0.13%,,,,41.05,1.972
us,value_rank,1,126,base,"100,000.00","130,819.45",+30.82%,+16.22%,+31.10%,+14.14%,+1.986,+3.449,+3.687,+98.07%,+98.07%,-8.44%,+63.16%,+20.32%,+0.473,+67.53%,+21.22%,19,18,+2.90%,+16.22%,+272.73%,-23.81%,+5.287,+16.22%,12,7,18,+61.11%,+16.45%,,,,41.08,,,,,,,+0.04%,+0.13%,1,+100.00%,+12.04%,41.08,1.986
us,vcp_breakout,1,250,base,"100,000.00","122,642.30",+22.64%,+1.93%,+22.84%,+31.96%,+0.804,+1.146,+1.005,+78.74%,+78.74%,-22.73%,+46.97%,+1.96%,+1.174,+98.21%,+21.22%,66,61,-0.23%,+1.92%,+99.31%,-32.11%,+1.348,+1.92%,31,35,62,+50.00%,+2.64%,,,,132.12,,,,,,,+0.13%,+1.04%,4,+0.00%,-9.26%,132.12,0.804
us,vol_expansion_breakout,1,250,base,"100,000.00","170,899.69",+70.90%,+16.40%,+71.63%,+27.82%,+2.083,+3.071,+6.225,+97.84%,+97.84%,-11.51%,+54.55%,+36.83%,+1.314,+92.51%,+21.22%,44,41,+3.40%,+16.19%,+320.87%,-22.19%,+5.687,+16.19%,24,20,41,+53.66%,+10.91%,,,,93.55,,,,,,,+0.09%,+0.13%,3,+66.67%,+88.42%,93.55,2.083
us,vol_target_lowvol,1,63,base,"100,000.00","104,836.85",+4.84%,+0.97%,+4.88%,+10.28%,+0.515,+0.738,+0.782,+69.51%,+69.51%,-6.23%,+50.00%,+6.84%,-0.066,+90.04%,+21.22%,50,30,+0.03%,+0.97%,+26.01%,-15.82%,+1.509,+0.97%,25,25,50,+50.00%,+0.97%,,,,100.48,,,,,,,+0.10%,+2.08%,,,,100.48,0.515
us,volume_surge,1,21,base,"100,000.00","128,098.57",+28.10%,+2.46%,+28.35%,+18.70%,+1.429,+2.190,+1.888,+92.25%,+92.25%,-15.01%,+55.26%,+9.44%,+0.875,+96.06%,+21.22%,114,97,+1.01%,+2.46%,+112.11%,-32.74%,+1.667,+2.46%,63,51,110,+53.64%,+2.33%,,,,230.81,,,,,,,+0.23%,+0.82%,4,+100.00%,+6.12%,230.81,1.429
india,cmf_flow_factor,2,63,base,"100,000.00","104,979.15",+4.98%,+0.62%,+2.48%,+20.81%,+0.222,+0.316,+0.106,+62.26%,+62.26%,-23.42%,+46.25%,+3.98%,+0.962,+96.38%,-0.24%,80,71,-1.27%,+0.62%,+51.99%,-29.83%,+1.110,+0.62%,37,43,49,+36.73%,-1.31%,20,+65.00%,+4.24%,"1,784.47","1,604.87",119.86,47.66,1.60,8.87,1.60,+1.78%,+35.84%,11,+54.55%,+2.68%,,0.222
india,cmf_flow_factor,3,63,base,"100,000.00","160,487.26",+60.49%,+5.04%,+17.45%,+14.07%,+1.214,+1.744,+0.715,+97.95%,+97.95%,-24.39%,+50.00%,+12.50%,+0.627,+99.45%,+24.97%,120,103,-0.09%,+5.04%,+135.35%,-41.86%,+1.812,+5.04%,60,60,90,+42.22%,+3.30%,30,+73.33%,+10.26%,"2,731.75","2,460.37",179.79,73.07,2.46,13.60,2.46,+2.73%,+4.52%,,,,,1.214
india,cmf_flow_factor,5,63,base,"100,000.00","256,358.14",+156.36%,+7.82%,+21.14%,+12.66%,+1.579,+2.303,+1.505,+99.97%,+99.97%,-14.05%,+59.50%,+16.83%,+0.504,+98.93%,+46.94%,200,149,+3.65%,+7.82%,+171.84%,-49.52%,+2.629,+7.82%,119,81,140,+56.43%,+8.60%,32,+75.00%,+11.58%,"4,610.59","4,156.23",299.64,123.44,4.16,22.97,4.16,+4.61%,+2.95%,28,+57.14%,-0.38%,,1.579
india,deep_value,2,126,base,"100,000.00","104,860.59",+4.86%,+12.15%,+2.43%,+4.69%,+0.534,+0.851,+0.606,+77.62%,+77.62%,-4.01%,+50.00%,+2.50%,+0.055,+8.72%,-0.24%,4,3,+11.41%,+12.15%,+46.74%,-20.95%,+2.736,+12.15%,2,2,2,+50.00%,+4.46%,2,+50.00%,+19.85%,94.01,84.86,5.99,2.52,0.08,0.47,0.08,+0.09%,+1.93%,,,,,0.534
india,deep_value,3,126,base,"100,000.00","147,502.24",+47.50%,+52.78%,+14.13%,+10.06%,+1.364,+2.317,+1.186,+99.28%,+99.28%,-11.92%,+77.78%,+13.31%,+0.145,+14.43%,+24.97%,9,7,+46.74%,+52.78%,+134.60%,-20.95%,+17.965,+52.78%,7,2,7,+85.71%,+62.19%,2,+50.00%,+19.85%,249.49,227.54,13.48,6.76,0.23,1.26,0.23,+0.25%,+0.53%,,,,,1.364
india,deep_value,5,126,base,"100,000.00","165,789.80",+65.79%,+32.89%,+10.85%,+9.55%,+1.126,+1.777,+0.889,+99.45%,+99.45%,-12.21%,+70.00%,+9.11%,+0.231,+19.94%,+46.94%,20,14,+30.86%,+32.89%,+134.60%,-41.20%,+6.311,+32.89%,14,6,15,+66.67%,+37.33%,2,+50.00%,+19.85%,513.13,465.83,29.96,13.84,0.47,2.57,0.47,+0.51%,+0.78%,3,+100.00%,+19.41%,,1.126
india,delivery_accumulation,2,63,base,"100,000.00","99,293.94",-0.71%,-0.08%,-0.36%,+18.14%,+0.071,+0.098,-0.020,+53.99%,+53.99%,-17.66%,+38.54%,+0.50%,+1.077,+99.74%,-0.24%,96,62,-3.31%,+0.32%,+85.34%,-64.87%,+0.988,+0.32%,37,59,54,+27.78%,-2.89%,31,+48.39%,+3.08%,"2,049.70","1,842.98",138.12,54.74,1.84,10.18,1.84,+2.05%,-290.30%,11,+63.64%,+8.28%,,0.071
india,delivery_accumulation,3,63,base,"100,000.00","161,855.31",+61.86%,+4.76%,+17.79%,+15.24%,+1.152,+1.610,+0.983,+97.18%,+97.18%,-18.10%,+51.54%,+10.77%,+0.866,+99.81%,+24.97%,130,60,+0.73%,+4.76%,+78.64%,-29.62%,+2.211,+4.76%,67,63,94,+51.06%,+4.52%,31,+58.06%,+6.76%,"2,954.21","2,660.49",194.68,79.02,2.66,14.70,2.66,+2.95%,+4.78%,5,+20.00%,-3.07%,,1.152
india,delivery_accumulation,5,63,base,"100,000.00","147,316.79",+47.32%,+2.21%,+8.21%,+16.22%,+0.568,+0.783,+0.357,+89.27%,+89.27%,-23.02%,+46.76%,+0.88%,+0.948,+99.90%,+46.94%,216,79,-0.91%,+2.25%,+91.41%,-66.39%,+1.439,+2.25%,101,115,149,+42.95%,+1.64%,40,+67.50%,+5.31%,"4,801.94","4,320.92",320.16,128.33,4.32,23.88,4.32,+4.80%,+10.15%,27,+37.04%,+1.06%,,0.568
india,garp,2,126,base,"100,000.00","112,312.84",+12.31%,+7.24%,+6.04%,+10.87%,+0.594,+0.815,+0.605,+78.93%,+78.93%,-9.97%,+70.59%,+6.37%,+0.382,+33.30%,-0.24%,17,14,+10.17%,+7.24%,+85.23%,-59.28%,+1.998,+7.24%,12,5,5,+40.00%,-3.15%,12,+83.33%,+11.57%,390.89,352.30,25.47,10.46,0.35,1.95,0.35,+0.39%,+3.17%,,,,,0.594
india,garp,3,126,base,"100,000.00","128,695.56",+28.70%,+13.66%,+8.96%,+8.84%,+1.015,+1.406,+1.023,+94.76%,+94.76%,-8.76%,+76.19%,+6.37%,+0.331,+29.29%,+24.97%,21,18,+13.28%,+13.66%,+85.23%,-59.28%,+3.347,+13.66%,16,5,9,+66.67%,+16.45%,12,+83.33%,+11.57%,496.86,448.69,31.46,13.33,0.45,2.48,0.45,+0.50%,+1.73%,,,,,1.015
india,garp,5,126,base,"100,000.00","185,546.11",+85.55%,+21.93%,+13.42%,+8.76%,+1.481,+2.208,+1.075,+99.93%,+99.93%,-12.48%,+76.92%,+10.98%,+0.291,+36.02%,+46.94%,39,31,+13.02%,+21.93%,+280.25%,-59.28%,+5.287,+21.93%,30,9,19,+63.16%,+10.77%,13,+84.62%,+15.69%,956.23,865.58,58.43,25.71,0.87,4.78,0.87,+0.96%,+1.12%,7,+100.00%,+63.84%,,1.481
india,keltner_squeeze_breakout,2,250,base,"100,000.00","79,587.94",-20.41%,-0.77%,-10.89%,+19.58%,-0.490,-0.644,-0.307,+24.35%,+24.35%,-35.49%,+29.36%,-9.68%,+0.777,+97.78%,-0.24%,327,227,-3.00%,-0.58%,+65.35%,-19.52%,+0.807,-0.58%,96,221,167,+29.34%,-0.09%,114,+33.33%,-0.55%,"5,888.74","5,293.58",398.11,157.22,5.29,29.25,5.29,+5.89%,-28.85%,46,+19.57%,-2.47%,,-0.49
india,keltner_squeeze_breakout,3,250,base,"100,000.00","135,164.09",+35.16%,+0.80%,+10.79%,+16.11%,+0.717,+0.973,+0.407,+88.63%,+88.63%,-26.49%,+34.55%,+6.00%,+0.677,+98.18%,+24.97%,440,271,-2.62%,+0.80%,+83.52%,-19.52%,+1.222,+0.80%,152,288,280,+36.43%,+1.96%,114,+35.96%,-0.68%,"9,819.94","8,832.12",659.03,262.31,8.83,48.81,8.83,+9.82%,+27.93%,46,+19.57%,-2.56%,,0.717
