market,strategy,years,hold,variant,Starting Capital,Final Equity,Total Return,Invested Return,CAGR,Volatility (ann.),Sharpe,Sortino,Calmar,Probabilistic Sharpe,Deflated Sharpe,Max Drawdown,Hit Rate,Alpha (ann.),Beta,Avg Exposure,Benchmark Return,Trades,Unique Tickers,Median Trade Return,Avg Trade Return,Best Trade,Worst Trade,Profit Factor,Expectancy,Winning Trades,Losing Trades,Regime Bull Trades,Regime Bull Win Rate,Regime Bull Avg Return,Regime Bear Trades,Regime Bear Win Rate,Regime Bear Avg Return,Total Fees,Fee Stt,Fee Stamp Duty,Fee Exchange Txn,Fee Sebi,Fee Gst,Fee Ipft,Fees Pct Capital,Fees Pct Net Pnl,Regime Pullback Trades,Regime Pullback Win Rate,Regime Pullback Avg Return,Fee Commission,sharpe
us,nifty_momentum,5,126,base,"100,000.00","344,114.72",+244.11%,+24.48%,+28.24%,+22.60%,+1.214,+1.780,+1.317,+99.65%,+99.65%,-21.45%,+68.00%,+17.85%,+0.795,+99.91%,+84.89%,100,88,+10.13%,+24.42%,+391.19%,-36.48%,+7.190,+24.42%,68,32,90,+73.33%,+27.92%,10,+20.00%,-7.07%,223.84,,,,,,,+0.22%,+0.09%,,,,223.84,1.214
us,nov_apr_trend,2,63,base,"100,000.00","114,717.95",+14.72%,+2.28%,+7.17%,+9.49%,+0.777,+1.051,+0.776,+85.33%,+85.33%,-9.23%,+52.31%,+3.79%,+0.173,+48.90%,+47.92%,65,31,+0.90%,+2.27%,+20.90%,-9.00%,+2.611,+2.27%,34,31,58,+48.28%,+1.99%,,,,130.68,,,,,,,+0.13%,+0.89%,7,+85.71%,+4.63%,130.68,0.777
us,nov_apr_trend,3,63,base,"100,000.00","128,972.14",+28.97%,+3.22%,+8.92%,+7.73%,+1.145,+1.595,+1.078,+96.89%,+96.89%,-8.28%,+56.67%,+5.81%,+0.155,+49.13%,+78.49%,90,38,+2.61%,+3.22%,+27.10%,-9.00%,+3.421,+3.22%,51,39,83,+54.22%,+3.10%,,,,182.73,,,,,,,+0.18%,+0.63%,7,+85.71%,+4.63%,182.73,1.145
us,nov_apr_trend,5,63,base,"100,000.00","133,916.46",+33.92%,+1.98%,+6.05%,+8.27%,+0.752,+1.046,+0.442,+94.95%,+94.95%,-13.71%,+46.24%,+4.17%,+0.154,+49.24%,+84.89%,173,59,-0.73%,+2.00%,+27.10%,-12.62%,+2.026,+2.00%,80,93,126,+47.62%,+2.29%,22,+13.64%,-2.14%,345.33,,,,,,,+0.35%,+1.02%,25,+68.00%,+4.17%,345.33,0.752
us,obv_flow_trend,2,63,base,"100,000.00","166,438.37",+66.44%,+5.63%,+29.27%,+26.15%,+1.114,+1.569,+1.147,+93.89%,+93.89%,-25.52%,+48.31%,+6.53%,+1.079,+99.80%,+47.92%,118,54,-0.51%,+5.64%,+113.25%,-48.07%,+1.937,+5.64%,57,61,105,+46.67%,+5.43%,1,+100.00%,+1.48%,242.59,,,,,,,+0.24%,+0.37%,12,+58.33%,+7.81%,242.59,1.114
us,obv_flow_trend,3,63,base,"100,000.00","198,178.09",+98.18%,+5.50%,+25.84%,+21.47%,+1.179,+1.675,+1.459,+97.75%,+97.75%,-17.71%,+51.40%,+4.74%,+1.001,+99.87%,+78.49%,179,62,+0.29%,+5.52%,+118.02%,-43.40%,+2.122,+5.52%,92,87,165,+50.30%,+5.32%,2,+100.00%,+3.80%,366.91,,,,,,,+0.37%,+0.37%,12,+58.33%,+8.52%,366.91,1.179
us,obv_flow_trend,5,63,base,"100,000.00","214,981.14",+114.98%,+3.91%,+16.66%,+21.82%,+0.815,+1.163,+0.441,+96.47%,+96.47%,-37.78%,+46.30%,+4.75%,+0.950,+99.92%,+84.89%,311,99,-0.98%,+3.78%,+118.02%,-43.40%,+1.719,+3.78%,144,166,218,+47.71%,+4.71%,62,+40.32%,+0.04%,599.97,,,,,,,+0.60%,+0.52%,31,+48.39%,+4.74%,599.97,0.815
us,pre_holiday_trend,2,10,base,"100,000.00","104,134.26",+4.13%,+0.32%,+2.06%,+3.08%,+0.679,+1.136,+1.261,+84.13%,+84.13%,-1.64%,+64.62%,+1.98%,+0.006,+5.19%,+47.92%,130,32,+0.37%,+0.32%,+2.49%,-3.17%,+2.364,+0.32%,84,46,100,+68.00%,+0.43%,10,+20.00%,-0.97%,260.41,,,,,,,+0.26%,+6.30%,20,+70.00%,+0.39%,260.41,0.679
us,pre_holiday_trend,3,10,base,"100,000.00","100,983.56",+0.98%,+0.05%,+0.33%,+2.80%,+0.131,+0.197,+0.107,+59.01%,+59.01%,-3.08%,+55.00%,+0.25%,+0.006,+5.33%,+78.49%,200,41,+0.16%,+0.05%,+3.15%,-3.17%,+1.119,+0.05%,110,90,170,+55.29%,+0.07%,10,+20.00%,-0.97%,395.41,,,,,,,+0.40%,+40.20%,20,+70.00%,+0.39%,395.41,0.131
us,pre_holiday_trend,5,10,base,"100,000.00","94,949.33",-5.05%,-0.15%,-1.04%,+3.32%,-0.297,-0.402,-0.102,+25.33%,+25.33%,-10.22%,+47.50%,-1.19%,+0.015,+5.75%,+84.89%,360,56,-0.10%,-0.14%,+5.88%,-3.64%,+0.742,-0.14%,171,189,240,+47.92%,-0.11%,80,+36.25%,-0.44%,684.78,,,,,,,+0.68%,-13.56%,40,+67.50%,+0.32%,684.78,-0.297
us,quality_lowbeta,2,126,base,"100,000.00","108,173.37",+8.17%,+2.06%,+4.04%,+15.30%,+0.335,+0.500,+0.234,+68.22%,+68.22%,-17.23%,+57.50%,-4.34%,+0.453,+99.20%,+47.92%,40,25,+2.22%,+2.17%,+46.03%,-40.28%,+1.347,+2.17%,23,17,40,+57.50%,+2.17%,,,,80.25,,,,,,,+0.08%,+0.98%,,,,80.25,0.335
us,quality_lowbeta,3,126,base,"100,000.00","122,405.92",+22.41%,+3.73%,+7.03%,+12.81%,+0.594,+0.875,+0.391,+84.81%,+84.81%,-17.96%,+60.00%,-2.01%,+0.467,+99.47%,+78.49%,60,31,+2.77%,+3.73%,+41.58%,-37.51%,+1.799,+3.73%,36,24,60,+60.00%,+3.73%,,,,122.24,,,,,,,+0.12%,+0.55%,,,,122.24,0.594
us,quality_lowbeta,5,126,base,"100,000.00","160,718.33",+60.72%,+6.09%,+10.02%,+13.75%,+0.764,+1.105,+0.686,+95.50%,+95.50%,-14.61%,+62.00%,+3.85%,+0.485,+99.84%,+84.89%,100,54,+4.39%,+6.03%,+68.94%,-37.93%,+2.415,+6.03%,62,38,90,+61.11%,+6.26%,10,+70.00%,+3.95%,205.40,,,,,,,+0.21%,+0.34%,,,,205.40,0.764
us,quality_lowvol,2,126,base,"100,000.00","105,021.57",+5.02%,+1.28%,+2.50%,+15.72%,+0.236,+0.346,+0.120,+63.01%,+63.01%,-20.81%,+55.00%,-7.34%,+0.536,+99.20%,+47.92%,40,23,+2.22%,+1.18%,+33.46%,-52.36%,+1.206,+1.18%,22,18,40,+55.00%,+1.18%,,,,79.25,,,,,,,+0.08%,+1.58%,,,,79.25,0.236
us,quality_lowvol,3,126,base,"100,000.00","128,158.37",+28.16%,+4.69%,+8.69%,+12.42%,+0.733,+1.081,+0.623,+89.74%,+89.74%,-13.96%,+66.67%,-1.18%,+0.498,+99.47%,+78.49%,60,28,+3.20%,+4.69%,+41.58%,-28.32%,+2.636,+4.69%,40,20,60,+66.67%,+4.69%,,,,122.82,,,,,,,+0.12%,+0.44%,,,,122.82,0.733
us,quality_lowvol,5,126,base,"100,000.00","145,412.46",+45.41%,+4.56%,+7.83%,+13.76%,+0.616,+0.899,+0.463,+91.53%,+91.53%,-16.89%,+61.00%,+0.21%,+0.597,+99.84%,+84.89%,100,47,+2.60%,+4.53%,+68.94%,-23.52%,+2.310,+4.53%,61,39,90,+63.33%,+4.83%,10,+40.00%,+1.81%,203.77,,,,,,,+0.20%,+0.45%,,,,203.77,0.616
us,quality_stability,2,126,base,"100,000.00","90,935.73",-9.06%,-2.33%,-4.68%,+17.21%,-0.192,-0.277,-0.182,+39.37%,+39.37%,-25.68%,+45.00%,-17.11%,+0.731,+98.14%,+47.92%,40,33,-1.99%,-2.14%,+33.44%,-45.10%,+0.664,-2.14%,18,22,38,+44.74%,-2.58%,,,,76.82,,,,,,,+0.08%,-0.85%,2,+50.00%,+6.28%,76.82,-0.192
us,quality_stability,3,126,base,"100,000.00","117,958.11",+17.96%,+2.99%,+5.71%,+14.22%,+0.461,+0.671,+0.256,+78.76%,+78.76%,-22.28%,+53.33%,-7.35%,+0.687,+98.87%,+78.49%,60,40,+1.54%,+2.99%,+40.82%,-36.70%,+1.607,+2.99%,32,28,58,+53.45%,+2.88%,,,,121.80,,,,,,,+0.12%,+0.68%,2,+50.00%,+6.28%,121.80,0.461
us,quality_stability,5,126,base,"100,000.00","145,570.37",+45.57%,+4.60%,+7.85%,+14.97%,+0.580,+0.849,+0.339,+90.23%,+90.23%,-23.19%,+55.00%,-1.16%,+0.711,+99.55%,+84.89%,100,62,+2.40%,+4.62%,+70.43%,-30.73%,+1.944,+4.62%,55,45,87,+54.02%,+3.74%,10,+70.00%,+13.24%,202.50,,,,,,,+0.20%,+0.44%,3,+33.33%,+1.32%,202.50,0.58
us,quality_value,2,126,base,"100,000.00","126,256.29",+26.26%,+6.85%,+12.47%,+16.21%,+0.806,+1.212,+0.557,+87.49%,+87.49%,-22.39%,+64.10%,-1.43%,+0.687,+89.72%,+47.92%,39,33,+7.13%,+6.96%,+68.13%,-46.16%,+2.415,+6.96%,25,14,34,+58.82%,+2.23%,,,,79.23,,,,,,,+0.08%,+0.30%,5,+100.00%,+39.14%,79.23,0.806
us,quality_value,3,126,base,"100,000.00","157,735.51",+57.74%,+9.79%,+16.55%,+12.64%,+1.275,+1.950,+0.976,+98.67%,+98.67%,-16.95%,+69.49%,+4.53%,+0.566,+93.52%,+78.49%,59,45,+9.51%,+9.79%,+68.13%,-40.81%,+4.074,+9.79%,41,18,53,+66.04%,+6.69%,,,,123.77,,,,,,,+0.12%,+0.21%,6,+100.00%,+37.09%,123.77,1.275
us,quality_value,5,126,base,"100,000.00","183,467.08",+83.47%,+8.47%,+12.99%,+13.84%,+0.952,+1.417,+0.895,+98.34%,+98.34%,-14.52%,+66.67%,+4.59%,+0.627,+96.50%,+84.89%,99,61,+7.73%,+8.37%,+68.13%,-34.77%,+3.562,+8.37%,66,33,83,+62.65%,+5.75%,10,+80.00%,+12.89%,205.38,,,,,,,+0.21%,+0.25%,6,+100.00%,+37.09%,205.38,0.952
us,seasonal_strong_trend,2,63,base,"100,000.00","94,397.12",-5.60%,-0.71%,-2.86%,+8.58%,-0.295,-0.384,-0.203,+33.64%,+33.64%,-14.10%,+39.51%,-5.37%,+0.141,+33.53%,+47.92%,81,31,-1.05%,-0.69%,+10.54%,-8.94%,+0.611,-0.69%,32,49,58,+37.93%,-0.76%,,,,157.37,,,,,,,+0.16%,-2.81%,23,+43.48%,-0.50%,157.37,-0.295
us,seasonal_strong_trend,3,63,base,"100,000.00","103,344.54",+3.34%,+0.29%,+1.11%,+7.31%,+0.188,+0.253,+0.084,+62.58%,+62.58%,-13.24%,+44.44%,-1.17%,+0.124,+33.69%,+78.49%,117,39,-0.49%,+0.29%,+14.17%,-8.94%,+1.173,+0.29%,52,65,94,+44.68%,+0.48%,,,,234.17,,,,,,,+0.23%,+7.00%,23,+43.48%,-0.50%,234.17,0.188
us,seasonal_strong_trend,5,63,base,"100,000.00","113,263.17",+13.26%,+0.66%,+2.54%,+6.89%,+0.399,+0.542,+0.208,+80.87%,+80.87%,-12.19%,+48.51%,+1.34%,+0.102,+33.28%,+84.89%,202,61,-0.23%,+0.66%,+14.17%,-9.71%,+1.432,+0.66%,98,104,136,+49.26%,+1.01%,33,+48.48%,+0.47%,404.75,,,,,,,+0.40%,+3.05%,33,+45.45%,-0.61%,404.75,0.399
us,tom_window_trend,2,21,base,"100,000.00","84,564.62",-15.44%,-0.65%,-8.10%,+6.80%,-1.207,-1.423,-0.465,+2.68%,+2.68%,-17.42%,+41.15%,-9.16%,+0.066,+19.24%,+47.92%,260,36,-0.28%,-0.62%,+5.83%,-7.32%,+0.465,-0.62%,107,141,219,+41.55%,-0.53%,10,+70.00%,+0.51%,470.99,,,,,,,+0.47%,-3.05%,31,+29.03%,-1.56%,470.99,-1.207
us,tom_window_trend,3,21,base,"100,000.00","85,484.84",-14.52%,-0.40%,-5.13%,+6.16%,-0.824,-1.005,-0.286,+6.13%,+6.13%,-17.97%,+45.85%,-6.35%,+0.072,+19.25%,+78.49%,386,46,-0.18%,-0.40%,+6.21%,-7.32%,+0.630,-0.40%,177,204,345,+46.67%,-0.32%,10,+70.00%,+0.51%,727.96,,,,,,,+0.73%,-5.02%,31,+29.03%,-1.56%,727.96,-0.824
us,tom_window_trend,5,21,base,"100,000.00","93,116.00",-6.88%,-0.11%,-1.43%,+5.99%,-0.209,-0.274,-0.079,+31.81%,+31.81%,-18.01%,+48.28%,-2.11%,+0.063,+19.22%,+84.89%,638,67,-0.11%,-0.11%,+8.06%,-7.32%,+0.881,-0.11%,308,330,480,+49.79%,-0.10%,96,+43.75%,-0.05%,"1,264.90",,,,,,,+1.26%,-18.37%,62,+43.55%,-0.32%,"1,264.90",-0.209
us,value_momentum_harness,2,126,base,"100,000.00","128,399.63",+28.40%,+11.83%,+13.43%,+9.94%,+1.318,+2.108,+1.045,+97.03%,+97.03%,-12.85%,+58.33%,+6.62%,+0.316,+42.93%,+47.92%,24,21,+0.59%,+11.83%,+261.96%,-26.85%,+3.575,+11.83%,14,10,23,+56.52%,+0.96%,,,,50.84,,,,,,,+0.05%,+0.18%,1,+100.00%,+261.96%,50.84,1.318
us,value_momentum_harness,3,126,base,"100,000.00","139,985.48",+39.99%,+10.81%,+11.97%,+9.35%,+1.256,+1.937,+0.981,+98.52%,+98.52%,-12.19%,+64.86%,+5.13%,+0.326,+50.63%,+78.49%,37,30,+1.84%,+10.81%,+261.96%,-26.85%,+3.837,+10.81%,24,13,36,+63.89%,+3.83%,,,,78.00,,,,,,,+0.08%,+0.20%,1,+100.00%,+261.96%,78.00,1.256
us,value_momentum_harness,5,126,base,"100,000.00","175,734.29",+75.73%,+9.85%,+12.02%,+17.19%,+0.747,+1.057,+0.466,+94.99%,+94.99%,-25.78%,+57.14%,+5.25%,+0.557,+70.89%,+84.89%,77,53,+0.83%,+9.85%,+261.96%,-28.28%,+3.021,+9.85%,44,33,63,+55.56%,+5.01%,11,+54.55%,+10.88%,161.30,,,,,,,+0.16%,+0.21%,3,+100.00%,+107.67%,161.30,0.747
us,value_rank,2,126,base,"100,000.00","132,205.11",+32.21%,+13.42%,+15.11%,+9.24%,+1.569,+2.490,+1.625,+98.73%,+98.73%,-9.30%,+54.17%,+8.83%,+0.286,+46.51%,+47.92%,24,22,+0.93%,+13.42%,+241.99%,-23.81%,+4.158,+13.42%,13,11,22,+50.00%,+3.09%,1,+100.00%,+241.99%,51.22,,,,,,,+0.05%,+0.16%,1,+100.00%,+12.04%,51.22,1.569
us,value_rank,3,126,base,"100,000.00","151,304.54",+51.30%,+13.50%,+14.93%,+9.15%,+1.567,+2.431,+1.939,+99.66%,+99.66%,-7.70%,+65.79%,+8.23%,+0.311,+54.70%,+78.49%,38,32,+5.37%,+13.50%,+241.99%,-23.81%,+5.187,+13.50%,25,13,35,+62.86%,+6.63%,1,+100.00%,+241.99%,81.13,,,,,,,+0.08%,+0.16%,2,+100.00%,+19.43%,81.13,1.567
us,value_rank,5,126,base,"100,000.00","181,875.40",+81.88%,+10.50%,+12.79%,+16.66%,+0.806,+1.149,+0.519,+96.23%,+96.23%,-24.64%,+60.26%,+5.90%,+0.556,+73.33%,+84.89%,78,54,+3.30%,+10.50%,+241.99%,-23.81%,+4.144,+10.50%,47,31,64,+56.25%,+7.10%,12,+75.00%,+27.15%,164.17,,,,,,,+0.16%,+0.20%,2,+100.00%,+19.43%,164.17,0.806
us,vcp_breakout,2,250,base,"100,000.00","139,702.99",+39.70%,+2.73%,+18.35%,+24.70%,+0.806,+1.153,+0.856,+87.04%,+87.04%,-21.45%,+44.95%,+5.82%,+0.675,+94.83%,+47.92%,109,86,-3.06%,+2.86%,+99.31%,-32.11%,+1.572,+2.86%,49,60,87,+43.68%,+1.91%,7,+57.14%,+18.94%,220.40,,,,,,,+0.22%,+0.74%,15,+46.67%,+0.88%,220.40,0.806
us,vcp_breakout,3,250,base,"100,000.00","150,385.49",+50.39%,+2.35%,+14.69%,+20.47%,+0.772,+1.108,+0.730,+90.74%,+90.74%,-20.13%,+42.77%,+2.51%,+0.646,+96.76%,+78.49%,173,127,-2.81%,+2.42%,+99.31%,-32.11%,+1.520,+2.42%,74,99,150,+41.33%,+1.26%,6,+66.67%,+22.72%,347.71,,,,,,,+0.35%,+0.86%,17,+47.06%,+5.51%,347.71,0.772
us,vcp_breakout,5,250,base,"100,000.00","163,305.43",+63.31%,+1.94%,+10.38%,+21.15%,+0.573,+0.808,+0.297,+89.81%,+89.81%,-34.91%,+39.79%,+2.37%,+0.706,+95.53%,+84.89%,289,181,-2.31%,+1.92%,+113.11%,-42.55%,+1.393,+1.92%,115,170,210,+42.38%,+2.61%,58,+27.59%,-1.67%,555.16,,,,,,,+0.56%,+1.04%,21,+47.62%,+4.89%,555.16,0.573
us,vol_expansion_breakout,2,250,base,"100,000.00","181,650.57",+81.65%,+8.94%,+35.10%,+26.05%,+1.286,+1.904,+1.891,+96.41%,+96.41%,-18.56%,+39.18%,+21.15%,+0.677,+97.33%,+47.92%,97,89,-1.54%,+9.31%,+361.61%,-24.54%,+3.022,+9.31%,38,59,77,+41.56%,+9.42%,3,+66.67%,+4.48%,190.75,,,,,,,+0.19%,+0.23%,17,+23.53%,+9.71%,190.75,1.286
us,vol_expansion_breakout,3,250,base,"100,000.00","147,130.59",+47.13%,+3.47%,+13.85%,+21.64%,+0.709,+0.980,+0.671,+88.56%,+88.56%,-20.64%,+34.67%,+1.37%,+0.677,+95.43%,+78.49%,150,120,-2.37%,+3.19%,+296.38%,-30.19%,+1.727,+3.19%,52,95,132,+33.33%,+1.89%,2,+100.00%,+7.63%,276.54,,,,,,,+0.28%,+0.59%,16,+37.50%,+13.35%,276.54,0.709
us,vol_expansion_breakout,5,250,base,"100,000.00","134,422.49",+34.42%,+1.59%,+6.13%,+19.28%,+0.406,+0.553,+0.221,+81.49%,+81.49%,-27.77%,+34.68%,-0.22%,+0.581,+92.00%,+84.89%,248,176,-2.47%,+1.58%,+296.38%,-30.19%,+1.352,+1.58%,86,156,184,+34.24%,+1.36%,36,+36.11%,-1.82%,436.51,,,,,,,+0.44%,+1.27%,28,+35.71%,+7.39%,436.51,0.406
us,vol_target_lowvol,2,63,base,"100,000.00","105,392.62",+5.39%,+0.61%,+2.68%,+9.86%,+0.318,+0.444,+0.279,+67.23%,+67.23%,-9.60%,+52.22%,+2.47%,+0.033,+78.24%,+47.92%,90,43,+0.19%,+0.65%,+16.04%,-15.50%,+1.278,+0.65%,47,43,80,+50.00%,+0.39%,,,,177.28,,,,,,,+0.18%,+3.29%,10,+70.00%,+2.75%,177.28,0.318
us,vol_target_lowvol,3,63,base,"100,000.00","116,734.61",+16.73%,+1.29%,+5.34%,+8.90%,+0.629,+0.895,+0.598,+85.98%,+85.98%,-8.92%,+55.38%,+3.77%,+0.092,+83.22%,+78.49%,130,62,+0.68%,+1.29%,+16.04%,-15.50%,+1.686,+1.29%,72,58,120,+54.17%,+1.17%,,,,261.67,,,,,,,+0.26%,+1.56%,10,+70.00%,+2.75%,261.67,0.629
us,vol_target_lowvol,5,63,base,"100,000.00","98,610.07",-1.39%,-0.07%,-0.28%,+10.69%,+0.027,+0.037,-0.012,+52.42%,+52.42%,-22.53%,+48.64%,-2.20%,+0.181,+78.37%,+84.89%,220,81,+0.00%,-0.06%,+16.04%,-38.33%,+0.973,-0.06%,107,106,170,+50.59%,+0.42%,40,+35.00%,-2.77%,410.99,,,,,,,+0.41%,-29.57%,10,+70.00%,+2.75%,410.99,0.027
us,volume_surge,2,21,base,"100,000.00","139,179.21",+39.18%,+1.75%,+18.13%,+18.24%,+1.005,+1.498,+0.924,+92.21%,+92.21%,-19.62%,+58.04%,+2.30%,+0.760,+96.37%,+47.92%,224,173,+2.11%,+1.75%,+78.89%,-33.13%,+1.552,+1.75%,130,94,186,+54.30%,+1.51%,10,+100.00%,+7.87%,451.92,,,,,,,+0.45%,+1.15%,28,+67.86%,+1.15%,451.92,1.005
us,volume_surge,3,21,base,"100,000.00","164,538.13",+64.54%,+1.91%,+18.21%,+16.86%,+1.077,+1.658,+1.095,+97.01%,+97.01%,-16.64%,+57.94%,+3.08%,+0.732,+98.16%,+78.49%,340,214,+2.13%,+1.92%,+82.26%,-32.74%,+1.581,+1.92%,197,143,300,+56.00%,+1.90%,10,+100.00%,+7.80%,681.73,,,,,,,+0.68%,+1.06%,30,+63.33%,+0.12%,681.73,1.077
