market,strategy,years,hold,variant,Starting Capital,Final Equity,Total Return,Invested Return,CAGR,Volatility (ann.),Sharpe,Sortino,Calmar,Probabilistic Sharpe,Deflated Sharpe,Max Drawdown,Hit Rate,Alpha (ann.),Beta,Avg Exposure,Benchmark Return,Trades,Unique Tickers,Median Trade Return,Avg Trade Return,Best Trade,Worst Trade,Profit Factor,Expectancy,Winning Trades,Losing Trades,Regime Bull Trades,Regime Bull Win Rate,Regime Bull Avg Return,Regime Pullback Trades,Regime Pullback Win Rate,Regime Pullback Avg Return,Regime Bear Trades,Regime Bear Win Rate,Regime Bear Avg Return,Total Fees,Fee Stt,Fee Stamp Duty,Fee Exchange Txn,Fee Sebi,Fee Gst,Fee Ipft,Fees Pct Capital,Fees Pct Net Pnl
india,nifty_momentum_trend,5,126,regime_bull_pullback,"100,000.00","229,440.47",+129.44%,+14.49%,+18.43%,+17.64%,+1.048,+1.433,+0.641,+98.79%,+98.79%,-28.74%,+61.11%,+12.51%,+0.732,+92.33%,+49.54%,90,75,+9.42%,+15.28%,+169.15%,-76.99%,+2.454,+15.28%,55,35,70,+65.71%,+21.91%,20,+45.00%,-7.91%,,,,"2,121.67","1,916.46",133.87,56.92,1.92,10.59,1.92,+2.12%,+1.64%
india,rs_trend,1,63,regime_bull_pullback,"100,000.00","81,624.37",-18.38%,-6.54%,-18.58%,+23.39%,-0.759,-0.953,-0.805,+21.77%,+21.77%,-23.09%,+30.00%,-16.61%,+1.017,+76.84%,-0.46%,30,28,-5.45%,-4.38%,+56.81%,-50.86%,+0.435,-4.38%,9,21,30,+30.00%,-4.38%,,,,,,,606.22,543.85,42.12,16.15,0.54,3.01,0.54,+0.61%,-3.30%
india,rs_trend,2,63,regime_bull_pullback,"100,000.00","79,387.82",-20.61%,-3.75%,-11.02%,+25.95%,-0.319,-0.413,-0.365,+32.59%,+32.59%,-30.17%,+36.67%,-8.90%,+0.927,+76.97%,+0.51%,60,47,-6.50%,-3.51%,+44.97%,-60.56%,+0.655,-3.51%,22,38,50,+28.00%,-6.53%,10,+80.00%,+11.57%,,,,"1,201.89","1,079.31",82.40,32.06,1.08,5.96,1.08,+1.20%,-5.83%
india,rs_trend,3,126,regime_bull_pullback,"100,000.00","195,867.79",+95.87%,+19.17%,+25.73%,+18.36%,+1.340,+1.887,+1.404,+98.66%,+98.66%,-18.32%,+58.00%,+21.06%,+0.628,+85.71%,+25.92%,50,44,+12.43%,+19.17%,+128.08%,-43.10%,+3.077,+19.17%,29,21,40,+60.00%,+20.94%,10,+50.00%,+12.13%,,,,"1,211.60","1,095.89",74.91,32.55,1.10,6.06,1.10,+1.21%,+1.26%
india,rs_trend,3,63,regime_bull_pullback,"100,000.00","152,496.26",+52.50%,+5.25%,+15.45%,+18.93%,+0.855,+1.177,+0.866,+92.40%,+92.40%,-17.84%,+49.00%,+10.89%,+0.669,+86.38%,+25.92%,100,67,-0.88%,+5.25%,+98.25%,-60.56%,+1.728,+5.25%,49,51,90,+45.56%,+4.55%,10,+80.00%,+11.57%,,,,"2,278.63","2,052.40",149.82,60.96,2.05,11.34,2.05,+2.28%,+4.34%
india,rs_trend,5,126,regime_bull_pullback,"100,000.00","292,483.21",+192.48%,+21.39%,+24.44%,+17.44%,+1.342,+1.929,+0.948,+99.82%,+99.82%,-25.77%,+64.44%,+19.13%,+0.643,+92.67%,+49.54%,90,71,+17.66%,+21.39%,+188.82%,-76.99%,+3.221,+21.39%,58,32,70,+70.00%,+27.20%,20,+45.00%,+1.04%,,,,"2,201.56","1,992.55",134.84,59.18,1.99,11.01,1.99,+2.20%,+1.14%
india,rs_trend,5,63,regime_bull_pullback,"100,000.00","218,221.02",+118.22%,+6.95%,+17.23%,+17.46%,+0.998,+1.397,+0.699,+98.50%,+98.50%,-24.65%,+54.12%,+12.43%,+0.624,+87.89%,+49.54%,170,103,+2.32%,+6.95%,+108.49%,-60.56%,+2.122,+6.95%,92,78,140,+48.57%,+3.93%,30,+80.00%,+21.05%,,,,"3,903.76","3,518.09",254.70,104.49,3.52,19.44,3.52,+3.90%,+3.30%
india,vwap_trend,1,63,regime_bull_pullback,"100,000.00","108,931.76",+8.93%,+2.71%,+9.04%,+15.30%,+0.643,+0.905,+0.466,+73.66%,+73.66%,-19.42%,+39.39%,+9.99%,+0.777,+71.24%,-0.46%,33,23,-1.82%,+2.72%,+55.22%,-31.24%,+1.422,+2.72%,13,20,30,+43.33%,+3.99%,3,+0.00%,-10.02%,,,,742.83,668.53,49.41,19.86,0.67,3.69,0.67,+0.74%,+8.32%
india,vwap_trend,2,63,regime_bull_pullback,"100,000.00","77,104.64",-22.90%,-4.08%,-12.33%,+18.59%,-0.613,-0.784,-0.401,+18.89%,+18.89%,-30.71%,+38.71%,-11.66%,+0.884,+77.35%,+0.51%,62,36,-1.95%,-3.21%,+54.21%,-60.56%,+0.393,-3.21%,24,37,51,+31.37%,-4.53%,11,+72.73%,+2.89%,,,,"1,224.58","1,099.55",84.09,32.66,1.10,6.08,1.10,+1.22%,-5.35%
india,vwap_trend,3,63,regime_bull_pullback,"100,000.00","126,503.11",+26.50%,+2.55%,+8.34%,+15.81%,+0.586,+0.792,+0.284,+83.66%,+83.66%,-29.32%,+50.96%,+2.62%,+0.766,+84.35%,+25.92%,104,55,+0.75%,+2.60%,+98.38%,-60.56%,+1.452,+2.60%,53,51,93,+48.39%,+2.86%,11,+72.73%,+0.35%,,,,"2,336.61","2,102.78",155.55,62.45,2.10,11.62,2.10,+2.34%,+8.82%
india,vwap_trend,5,63,regime_bull_pullback,"100,000.00","133,755.69",+33.76%,+1.97%,+6.10%,+15.06%,+0.469,+0.638,+0.223,+84.69%,+84.69%,-27.33%,+49.71%,-0.15%,+0.788,+88.01%,+49.54%,171,70,-0.01%,+1.97%,+139.62%,-60.56%,+1.411,+1.97%,85,86,141,+46.10%,+1.69%,30,+66.67%,+3.30%,,,,"3,838.30","3,453.54",256.20,102.57,3.45,19.08,3.45,+3.84%,+11.37%
