effective_date,symbol
2015-09-30,DBCORP.NS
2015-09-30,DHFL.NS
2015-09-30,DIACABS.NS
2015-09-30,DISHTV.NS
2015-09-30,DLF.NS
2015-09-30,EIHOTEL.NS
2015-09-30,ENGINERSIN.NS
2015-09-30,EXIDEIND.NS
2015-09-30,FEDERALBNK.NS
2015-09-30,FORTIS.NS
2015-09-30,GESHIP.NS
2015-09-30,GET&D.NS
2015-09-30,GILLETTE.NS
2015-09-30,GMDCLTD.NS
2015-09-30,GMRAIRPORT.NS
2015-09-30,GMRINFRA.NS
2015-09-30,GODREJIND.NS
2015-09-30,GODREJPROP.NS
2015-09-30,GPPL.NS
2015-09-30,GSPL.NS
2015-09-30,GVT&D.NS
2015-09-30,HATHWAY.NS
2015-09-30,HAVELLS.NS
2015-09-30,HEXAWARE.NS
2015-09-30,HINDALCO.NS
2015-09-30,HINDCOPPER.NS
2015-09-30,HINDPETRO.NS
2015-09-30,HONAUT.NS
2015-09-30,IBULHSGFIN.NS
2015-09-30,IDFC.NS
2015-09-30,IGL.NS
2015-09-30,IMAGICAA.NS
2015-09-30,INDHOTEL.NS
2015-09-30,INDIANB.NS
2015-09-30,INOXWIND.NS
2015-09-30,IPCALAB.NS
2015-09-30,IRB.NS
2015-09-30,JINDALSTEL.NS
2015-09-30,JSWDULUX.NS
2015-09-30,JSWENERGY.NS
2015-09-30,JSWISPL.NS
2015-09-30,JUBLFOOD.NS
2015-09-30,JUSTDIAL.NS
2015-09-30,JYOTHYLAB.NS
2015-09-30,KAJARIACER.NS
2015-09-30,KANSAINER.NS
2015-09-30,KARURVYSYA.NS
2015-09-30,KSCL.NS
2015-09-30,L&TFH.NS
2015-09-30,LICHSGFIN.NS
2015-09-30,LIQUIDBEES.NS
2015-09-30,LTF.NS
2015-09-30,M&MFIN.NS
2015-09-30,MAHABANK.NS
2015-09-30,MAHINDCIE.NS
2015-09-30,MBECL.NS
2015-09-30,MCX.NS
2015-09-30,MFSL.NS
2015-09-30,MPHASIS.NS
2015-09-30,MRF.NS
2015-09-30,MRPL.NS
2015-09-30,MUTHOOTFIN.NS
2015-09-30,NATCOPHARM.NS
2015-09-30,NATIONALUM.NS
2015-09-30,NAUKRI.NS
2015-09-30,NBCC.NS
2015-09-30,NETWORK18.NS
2015-09-30,NHPC.NS
2015-09-30,NLCINDIA.NS
2015-09-30,OBEROIRLTY.NS
2015-09-30,OIL.NS
2015-09-30,PAGEIND.NS
2015-09-30,PCJEWELLER.NS
2015-09-30,PEL.NS
2015-09-30,PERSISTENT.NS
2015-09-30,PETRONET.NS
2015-09-30,PFIZER.NS
2015-09-30,PGHH.NS
2015-09-30,PIIND.NS
2015-09-30,PRESTIGE.NS
2015-09-30,PRSMJOHNSN.NS
2015-09-30,RAJESHEXPO.NS
2015-09-30,RAMCOCEM.NS
2015-09-30,RCOM.NS
2015-09-30,RELAXO.NS
2015-09-30,RELCAPITAL.NS
2015-09-30,RELIGARE.NS
2015-09-30,RELINFRA.NS
2015-09-30,RPOWER.NS
2015-09-30,SAMMAANCAP.NS
2015-09-30,SANOFI.NS
2015-09-30,SCHAEFFLER.NS
2015-09-30,SHRIRAMFIN.NS
2015-09-30,SJVN.NS
2015-09-30,SOLARINDS.NS
2015-09-30,SPARC.NS
2015-09-30,SRF.NS
2015-09-30,SUNDARMFIN.NS
2015-09-30,SUNTV.NS
2015-09-30,SUPREMEIND.NS
2015-09-30,SYMPHONY.NS
2015-09-30,TATACOMM.NS
2015-09-30,TATACONSUM.NS
2015-09-30,THERMAX.NS
2015-09-30,TORNTPHARM.NS
2015-09-30,TORNTPOWER.NS
2015-09-30,TV18BRDCST.NS
2015-09-30,TVSMOTOR.NS
2015-09-30,UEL.NS
2015-09-30,VAKRANGEE.NS
2015-09-30,VHLTD.NS
2015-09-30,VICEROY.NS
2015-09-30,VOLTAS.NS
2015-09-30,WELSPUNIND.NS
2015-09-30,WELSPUNLIV.NS
2015-09-30,WHIRLPOOL.NS
2015-09-30,WOCKPHARMA.NS
2016-03-31,3MINDIA.NS
2016-03-31,ABB.NS
2016-03-31,ABBOTINDIA.NS
2016-03-31,ADANIPOWER.NS
2016-03-31,AIAENG.NS
2016-03-31,AJANTPHARM.NS
2016-03-31,AKZOINDIA.NS
2016-03-31,ALKEM.NS
2016-03-31,AMARAJABAT.NS
2016-03-31,APLLTD.NS
2016-03-31,APOLLOHOSP.NS
2016-03-31,APOLLOTYRE.NS
2016-03-31,ARE&M.NS
2016-03-31,BAJAJCON.NS
2016-03-31,BAJAJHLDNG.NS
2016-03-31,BALKRISIND.NS
2016-03-31,BATAINDIA.NS
2016-03-31,BAYERCROP.NS
2016-03-31,BERGEPAINT.NS
2016-03-31,BHARATFORG.NS
2016-03-31,BIOCON.NS
2016-03-31,BLUEDART.NS
2016-03-31,CASTROLIND.NS
2016-03-31,CHOLAFIN.NS
2016-03-31,CIEINDIA.NS
2016-03-31,COROMANDEL.NS
2016-03-31,CPSEETF.NS
2016-03-31,CRISIL.NS
2016-03-31,DALBHARAT.NS
2016-03-31,DBCORP.NS
2016-03-31,DHFL.NS
2016-03-31,DIACABS.NS
2016-03-31,DISHTV.NS
2016-03-31,DLF.NS
2016-03-31,ECLERX.NS
2016-03-31,EIHOTEL.NS
2016-03-31,EMAMILTD.NS
2016-03-31,ENGINERSIN.NS
2016-03-31,EXIDEIND.NS
2016-03-31,FEDERALBNK.NS
2016-03-31,FEL.NS
2016-03-31,FORTIS.NS
2016-03-31,GET&D.NS
2016-03-31,GILLETTE.NS
2016-03-31,GMRAIRPORT.NS
2016-03-31,GMRINFRA.NS
2016-03-31,GODFRYPHLP.NS
2016-03-31,GODREJIND.NS
2016-03-31,GODREJPROP.NS
2016-03-31,GPPL.NS
2016-03-31,GSPL.NS
2016-03-31,GUJGASLTD.NS
2016-03-31,GVT&D.NS
2016-03-31,HATHWAY.NS
2016-03-31,HAVELLS.NS
2016-03-31,HEXAWARE.NS
2016-03-31,HINDALCO.NS
2016-03-31,HINDPETRO.NS
2016-03-31,HONAUT.NS
2016-03-31,IDFC.NS
2016-03-31,IGL.NS
2016-03-31,IMAGICAA.NS
2016-03-31,INDHOTEL.NS
2016-03-31,INDIANB.NS
2016-03-31,INOXWIND.NS
2016-03-31,IPCALAB.NS
2016-03-31,IRB.NS
2016-03-31,JETAIRWAYS.NS
2016-03-31,JINDALSTEL.NS
2016-03-31,JSWDULUX.NS
2016-03-31,JSWENERGY.NS
2016-03-31,JUBLFOOD.NS
2016-03-31,JUBLPHARMA.NS
2016-03-31,JUSTDIAL.NS
2016-03-31,JYOTHYLAB.NS
2016-03-31,KAJARIACER.NS
2016-03-31,KANSAINER.NS
2016-03-31,L&TFH.NS
2016-03-31,LALPATHLAB.NS
2016-03-31,LIQUIDBEES.NS
2016-03-31,LTF.NS
2016-03-31,M&MFIN.NS
2016-03-31,MAHABANK.NS
2016-03-31,MAHINDCIE.NS
2016-03-31,MBECL.NS
2016-03-31,MFSL.NS
2016-03-31,MPHASIS.NS
2016-03-31,MRF.NS
2016-03-31,MRPL.NS
2016-03-31,MUTHOOTFIN.NS
2016-03-31,NATCOPHARM.NS
2016-03-31,NATIONALUM.NS
2016-03-31,NAUKRI.NS
2016-03-31,NBCC.NS
2016-03-31,NH.NS
2016-03-31,NHPC.NS
2016-03-31,NLCINDIA.NS
2016-03-31,OBEROIRLTY.NS
2016-03-31,OIL.NS
2016-03-31,PAGEIND.NS
2016-03-31,PCJEWELLER.NS
2016-03-31,PEL.NS
2016-03-31,PERSISTENT.NS
2016-03-31,PETRONET.NS
2016-03-31,PFIZER.NS
2016-03-31,PGHH.NS
2016-03-31,PIIND.NS
2016-03-31,PRESTIGE.NS
2016-03-31,RAJESHEXPO.NS
2016-03-31,RAMCOCEM.NS
2016-03-31,RCOM.NS
2016-03-31,RECLTD.NS
2016-03-31,RELAXO.NS
2016-03-31,RELCAPITAL.NS
2016-03-31,RELIGARE.NS
2016-03-31,RELINFRA.NS
2016-03-31,RPOWER.NS
2016-03-31,SAIL.NS
2016-03-31,SANOFI.NS
2016-03-31,SCHAEFFLER.NS
2016-03-31,SHRIRAMFIN.NS
2016-03-31,SIEMENS.NS
2016-03-31,SJVN.NS
2016-03-31,SOLARINDS.NS
2016-03-31,SPARC.NS
2016-03-31,SRF.NS
2016-03-31,SUNDARMFIN.NS
2016-03-31,SUNTV.NS
2016-03-31,SUPREMEIND.NS
2016-03-31,SYMPHONY.NS
2016-03-31,SYNGENE.NS
2016-03-31,TATACOMM.NS
2016-03-31,TATACONSUM.NS
2016-03-31,TATAELXSI.NS
2016-03-31,TATAPOWER.NS
2016-03-31,THERMAX.NS
2016-03-31,TORNTPOWER.NS
2016-03-31,TV18BRDCST.NS
2016-03-31,TVSMOTOR.NS
2016-03-31,UBL.NS
2016-03-31,UPL.NS
2016-03-31,UTISENSETF.NS
2016-03-31,VAKRANGEE.NS
2016-03-31,VHLTD.NS
2016-03-31,VICEROY.NS
2016-03-31,VOLTAS.NS
2016-03-31,WELSPUNIND.NS
2016-03-31,WELSPUNLIV.NS
2016-03-31,WHIRLPOOL.NS
2016-03-31,WOCKPHARMA.NS
2016-09-30,3MINDIA.NS
2016-09-30,ABB.NS
2016-09-30,ABBOTINDIA.NS
2016-09-30,ADANIPOWER.NS
